No.,ID,ページ,type,subtype,語句,読み,sentence,hint,question,choices,answerIndex,正解選択肢,explanation
25,vocab1300_p007_001,7,meaning_context,,キャリア,キャリア,その先生は、長いキャリアを生かして、分かりやすく教えてくれました。,,キャリア の意味はどれ？,"[""その場所にいるときの気分"", ""仕事や技術などで積んできた経験"", ""注意や準備が足りないこと"", ""途中でじゃますること""]",1,仕事や技術などで積んできた経験,キャリアは、仕事や技術などで積んできた経験や経歴のことです。
26,vocab1300_p007_002,7,meaning_context,,さえぎる,さえぎる,大きな木が道をさえぎっていて、前に進めませんでした。,,さえぎる の意味はどれ？,"[""相手を先に出しぬくこと"", ""そのときの様子"", ""途中でじゃますること"", ""居やすい気分""]",2,途中でじゃますること,さえぎるは、進むものや見えるものなどを途中でじゃますることです。
27,vocab1300_p007_003,7,meaning_context,,状況,じょうきょう,先生は、教室の状況を見てから、外で遊ぶか決めました。,,状況 の意味はどれ？,"[""そのときの様子や状態"", ""注意が足りないこと"", ""仕事で積んだ経験"", ""人をだまして先に進むこと""]",0,そのときの様子や状態,状況は、そのときの様子や状態のことです。
28,vocab1300_p007_004,7,meaning_context,,居心地,いごこち,図書室は静かで、居心地がよい場所です。,,居心地 の意味はどれ？,"[""途中でじゃますること"", ""相手をだまして有利になること"", ""仕事などの経験"", ""その場所にいるときの気分""]",3,その場所にいるときの気分,居心地は、その場所にいるときの気分のことです。
29,vocab1300_p007_005,7,meaning_context,,出し抜く,だしぬく,友だちを出し抜くようなやり方では、あとで信じてもらえなくなります。,,出し抜く の意味はどれ？,"[""その場所にいるときの気分"", ""相手をだましたり先に動いたりして有利になること"", ""そのときの様子や状態"", ""注意や準備が足りないこと""]",1,相手をだましたり先に動いたりして有利になること,出し抜くは、相手をだましたり先に行動したりして、自分が有利になることです。
30,vocab1300_p007_006,7,meaning_context,,手ぬかり,てぬかり,発表の前に何度も確認したので、手ぬかりはありませんでした。,,手ぬかり の意味はどれ？,"[""仕事や技術の経験"", ""途中でじゃますること"", ""注意や準備が十分でないこと"", ""居やすい気分""]",2,注意や準備が十分でないこと,手ぬかりは、注意や準備が十分でないことです。
31,vocab1300_p008_001,8,meaning_context,,うやうやしい,うやうやしい,その子は、おじぎをして、うやうやしく先生にあいさつしました。,,うやうやしい の意味はどれ？,"[""人をひどく働かせること"", ""話の筋道が合うこと"", ""ていねいで礼儀正しいようす"", ""長く続くようす""]",2,ていねいで礼儀正しいようす,うやうやしいは、ていねいで、礼儀正しいようすです。
32,vocab1300_p008_002,8,meaning_context,,つじつま,つじつま,話のつじつまが合わないので、もう一度たしかめました。,,つじつま の意味はどれ？,"[""人を休ませずに使うこと"", ""話や物事の筋道"", ""よしあしを見分ける力"", ""礼儀正しいようす""]",1,話や物事の筋道,つじつまは、話や物事の筋道のことです。つじつまが合うとは、話が自然につながることです。
33,vocab1300_p008_003,8,meaning_context,,えんえん,えんえん,校長先生の話は、えんえんと続きました。,,えんえん の意味はどれ？,"[""非常に長く続くようす"", ""ていねいなようす"", ""何かをさせること"", ""見分ける力があること""]",0,非常に長く続くようす,えんえんは、非常に長く続くようすです。
34,vocab1300_p008_004,8,meaning_context,,仕向ける,しむける,先生は、みんなが自分で考えるように仕向けました。,,仕向ける の意味はどれ？,"[""筋道が合うこと"", ""長く続くようす"", ""よしあしを見分けること"", ""人に働きかけて何かをさせること""]",3,人に働きかけて何かをさせること,仕向けるは、人に働きかけて、何かをさせることです。
35,vocab1300_p008_005,8,meaning_context,,目が高い,めがたかい,その絵のよさに気づくなんて、君は目が高いね。,,目が高い の意味はどれ？,"[""物や人のよしあしを見分ける力があること"", ""人をひどく働かせること"", ""礼儀正しくすること"", ""長く続くこと""]",0,物や人のよしあしを見分ける力があること,目が高いは、物や人のよしあしを見分ける力があることです。
36,vocab1300_p008_006,8,meaning_context,,こき使う,こきつかう,弟に片づけを全部させて、こき使うのはよくありません。,,こき使う の意味はどれ？,"[""話の筋道が合うこと"", ""見分ける力があること"", ""人を休ませず、ひどく働かせること"", ""礼儀正しいようす""]",2,人を休ませず、ひどく働かせること,こき使うは、人を休ませず、ひどく働かせることです。
37,vocab1300_p009_001,9,meaning_context,,よりほかない,よりほかない,電車が止まってしまったので、歩いて帰るよりほかありません。,,よりほかない の意味はどれ？,"[""それ以外に方法がないこと"", ""相手と調子が合うこと"", ""あやしく思うこと"", ""あてもなく歩くこと""]",0,それ以外に方法がないこと,よりほかないは、それ以外に方法がないという意味です。
38,vocab1300_p009_002,9,meaning_context,,相性,あいしょう,その友だちとは相性がよく、すぐに仲よくなりました。,,相性 の意味はどれ？,"[""はっきりしなくてあやしいこと"", ""相手と気持ちや調子が合うかどうか"", ""ありのままに言うこと"", ""弱いところを利用すること""]",1,相手と気持ちや調子が合うかどうか,相性は、相手と気持ちや調子が合うかどうかということです。
39,vocab1300_p009_003,9,meaning_context,,弱みにつけこむ,よわみにつけこむ,相手の弱みにつけこむようなやり方は、正しいとは言えません。,,弱みにつけこむ の意味はどれ？,"[""あてもなく歩き回ること"", ""それ以外に方法がないこと"", ""相手の弱いところを利用すること"", ""かざらずに言うこと""]",2,相手の弱いところを利用すること,弱みにつけこむは、相手の弱いところを利用して、自分に都合よくすることです。
40,vocab1300_p009_004,9,meaning_context,,いぶかしい,いぶかしい,だれもいないはずの部屋から音がして、いぶかしく思いました。,,いぶかしい の意味はどれ？,"[""相手と調子が合うこと"", ""あてもなく歩き回ること"", ""ありのままに話すこと"", ""はっきりしなくて、あやしく思うようす""]",3,はっきりしなくて、あやしく思うようす,いぶかしいは、はっきりしなくて、あやしく思うようすです。
41,vocab1300_p009_005,9,meaning_context,,さすらう,さすらう,物語の主人公は、知らない国をさすらいました。,,さすらう の意味はどれ？,"[""あてもなく、あちこち歩き回ること"", ""相手の弱いところを利用すること"", ""それ以外に方法がないこと"", ""はっきりしなくて疑うこと""]",0,あてもなく、あちこち歩き回ること,さすらうは、あてもなく、あちこち歩き回ることです。
42,vocab1300_p009_006,9,meaning_context,,率直,そっちょく,先生に、作文の感想を率直に伝えました。,,率直 の意味はどれ？,"[""相手と調子が合うこと"", ""かざらず、ありのままに言うようす"", ""相手の弱いところを利用すること"", ""あやしく思うようす""]",1,かざらず、ありのままに言うようす,率直は、かざらず、ありのままに言うようすです。
43,vocab1300_p010_001,10,meaning_context,,そりが合わない,そりがあわない,その子とは遊び方の考えがちがって、少しそりが合いません。,,そりが合わない の意味はどれ？,"[""正体が分からないこと"", ""人の行動をじゃますること"", ""考え方や性格が合わないこと"", ""細かくていねいにすること""]",2,考え方や性格が合わないこと,そりが合わないは、考え方や性格が合わないという意味です。
44,vocab1300_p010_002,10,meaning_context,,歯を食いしばる,はをくいしばる,最後まで走るために、歯を食いしばってがんばりました。,,歯を食いしばる の意味はどれ？,"[""強く信じる気持ち"", ""苦しさやつらさにたえること"", ""正体が分からないこと"", ""考え方が合わないこと""]",1,苦しさやつらさにたえること,歯を食いしばるは、苦しさやつらさにじっとたえることです。
45,vocab1300_p010_003,10,meaning_context,,丹念,たんねん,ノートの図を、丹念に色分けしてまとめました。,,丹念 の意味はどれ？,"[""心をこめて細かくていねいにするようす"", ""人の行動をじゃますること"", ""考え方が合わないこと"", ""本当の姿が分からないこと""]",0,心をこめて細かくていねいにするようす,丹念は、心をこめて、細かいところまでていねいにするようすです。
46,vocab1300_p010_004,10,meaning_context,,信念,しんねん,その選手は、必ずうまくなるという信念を持って練習しました。,,信念 の意味はどれ？,"[""苦しさにたえること"", ""人をじゃますること"", ""正体が分からないこと"", ""自分が正しいと強く信じる気持ち""]",3,自分が正しいと強く信じる気持ち,信念は、自分が正しいと強く信じる気持ちです。
47,vocab1300_p010_005,10,meaning_context,,妨害,ぼうがい,話している人の前で大声を出すと、発表の妨害になります。,,妨害 の意味はどれ？,"[""細かくていねいにすること"", ""考え方が合わないこと"", ""人の行動や物事の進みをじゃますること"", ""強く信じる気持ち""]",2,人の行動や物事の進みをじゃますること,妨害は、人の行動や物事の進みをじゃますることです。
48,vocab1300_p010_006,10,meaning_context,,得体の知れない,えたいのしれない,森の奥から、得体の知れない音が聞こえてきました。,,得体の知れない の意味はどれ？,"[""苦しさにじっとたえること"", ""正体や本当の姿がよく分からないこと"", ""人の行動をじゃますること"", ""考え方が合わないこと""]",1,正体や本当の姿がよく分からないこと,得体の知れないは、正体や本当の姿がよく分からないという意味です。
49,vocab1300_p011_001,11,meaning_context,,眉をひそめる,まゆをひそめる,友だちが人の悪口を言っているのを聞いて、先生は眉をひそめました。,,眉をひそめる の意味はどれ？,"[""うれしそうに笑うこと"", ""心配や不快なことで顔をしかめること"", ""何かを持ってくること"", ""正しいことをしようとする心""]",1,心配や不快なことで顔をしかめること,眉をひそめるは、心配や不快なことで、顔をしかめることです。
50,vocab1300_p011_002,11,meaning_context,,つど,つど,図書室へ行くつど、新しい本を一冊ずつ借りています。,,つど の意味はどれ？,"[""そうするたびに"", ""たいして"", ""正しい心"", ""一つの見方""]",0,そうするたびに,つどは、そうするたびに、毎回という意味です。
51,vocab1300_p011_003,11,meaning_context,,さほど,さほど,テスト前は心配でしたが、問題はさほど難しくありませんでした。,,さほど の意味はどれ？,"[""そのたびに"", ""顔をしかめて"", ""それほど、たいして"", ""何かを持ってきて""]",2,それほど、たいして,さほどは、それほど、たいして、という意味です。多くの場合、後ろに打ち消しの言葉が続きます。
52,vocab1300_p011_004,11,meaning_context,,側面,そくめん,その出来事には、楽しい側面だけでなく、反省するところもありました。,,側面 の意味はどれ？,"[""毎回ということ"", ""正しいことをしようとする心"", ""不快そうな顔"", ""ものごとの一つの面や見方""]",3,ものごとの一つの面や見方,側面は、ものごとの一つの面や見方のことです。
53,vocab1300_p011_005,11,meaning_context,,良心,りょうしん,落とし物を見つけたので、良心にしたがって先生に届けました。,,良心 の意味はどれ？,"[""ものごとの一つの面"", ""正しいことをしようとする心"", ""それほど、たいして"", ""そのたびに""]",1,正しいことをしようとする心,良心は、正しいことをしようとする心のことです。
54,vocab1300_p011_006,11,meaning_context,,もたらす,もたらす,毎日の練習は、少しずつよい結果をもたらしました。,,もたらす の意味はどれ？,"[""何かを起こしたり持ってきたりすること"", ""顔をしかめること"", ""一つの見方をすること"", ""正しい心を持つこと""]",0,何かを起こしたり持ってきたりすること,もたらすは、何かを持ってきたり、よいこと・悪いことを起こしたりすることです。
55,vocab1300_p012_001,12,meaning_context,,口下手,くちべた,発表の内容は考えていたのに、みんなの前に出るとうまく話せませんでした。わたしは少し口下手です。,,口下手 の意味はどれ？,"[""人の悪口をこっそり言うこと"", ""二つの役目をいっしょにすること"", ""話すことがあまり上手ではないこと"", ""心配でじっとしていられないこと""]",2,話すことがあまり上手ではないこと,口下手は、話すことがあまり上手ではないことです。話したくない、という意味ではありません。
56,vocab1300_p012_002,12,meaning_context,,客観的,きゃっかんてき,けんかの話を聞くときは、どちらか一人の気持ちだけで決めず、客観的に考えることが大切です。,,客観的 の意味はどれ？,"[""いろいろな見方から考えること"", ""ねばり強くて負けにくいこと"", ""話すのがあまり上手ではないこと"", ""本人がいないところで悪く言うこと""]",0,いろいろな見方から考えること,客観的は、自分の気持ちだけでなく、広い見方で考えることです。
57,vocab1300_p012_003,12,meaning_context,,居ても立ってもいられない,いてもたってもいられない,大切なぬいぐるみが見つからなくて、青ちゃんは居ても立ってもいられませんでした。,,居ても立ってもいられない の意味はどれ？,"[""一人で二つの役目をすること"", ""話すことがあまり上手ではないこと"", ""いろいろな見方から考えること"", ""心配などでじっとしていられないこと""]",3,心配などでじっとしていられないこと,居ても立ってもいられないは、心配やうれしさなどで落ち着かず、じっとしていられないようすです。
58,vocab1300_p012_004,12,meaning_context,,したたか,したたか,相手チームに先に点を取られても、最後まであきらめず、したたかに試合を続けました。,,したたか の意味はどれ？,"[""本人がいないところで悪く言うこと"", ""ねばり強く、簡単には負けないようす"", ""話すことがあまり上手ではないこと"", ""一つのものが二つの役目をすること""]",1,ねばり強く、簡単には負けないようす,したたかは、すぐに負けたりあきらめたりせず、ねばり強いようすです。悪い意味で使われることもありますが、ここでは強さを表しています。
59,vocab1300_p012_005,12,meaning_context,,兼ねる,かねる,この箱は、おもちゃ入れといすの二つの役目を兼ねています。,,兼ねる の意味はどれ？,"[""話すことがあまり上手ではないこと"", ""心配でじっとしていられないこと"", ""一つのものや人が、二つ以上の役目をすること"", ""いろいろな見方から考えること""]",2,一つのものや人が、二つ以上の役目をすること,兼ねるは、一つのものや人が、二つ以上の役目をすることです。
60,vocab1300_p012_006,12,meaning_context,,陰口,かげぐち,その人がいないところで悪く言うのは、陰口になるのでやめた方がよいです。,,陰口 の意味はどれ？,"[""本人がいないところで言う悪口"", ""ねばり強く、簡単には負けないようす"", ""一つのものが二つ以上の役目をすること"", ""自分の気持ちだけでなく、広い見方で考えること""]",0,本人がいないところで言う悪口,陰口は、本人がいないところで言う悪口です。本人に直接伝える注意や相談とはちがいます。
61,vocab1300_p013_001,13,age_word,,不惑,ふわく,四十歳のお祝いで、不惑という言葉を知りました。,,文の中の 不惑 の読み方はどれ？,"[""ふまど"", ""ふわく"", ""ふこう"", ""ぶわく""]",1,ふわく,不惑は『ふわく』と読みます。四十歳を表す言葉です。
62,vocab1300_p013_002,13,age_word,,還暦,かんれき,祖父の還暦のお祝いに、家族で赤い花を用意しました。,,文の中の 還暦 の読み方はどれ？,"[""かんれき"", ""かんりゃく"", ""げんれき"", ""こうれき""]",0,かんれき,還暦は『かんれき』と読みます。六十歳を表す言葉です。
63,vocab1300_p013_003,13,age_word,,白寿,はくじゅ,ひいおばあちゃんの白寿を祝って、みんなで写真を撮りました。,,文の中の 白寿 の読み方はどれ？,"[""しろじゅ"", ""はくとし"", ""はくじゅ"", ""しらじゅ""]",2,はくじゅ,白寿は『はくじゅ』と読みます。九十九歳を表す言葉です。『百』から『一』を取ると『白』になることからきています。
64,vocab1300_p013_004,13,age_word,,喜寿,きじゅ,おばあちゃんの喜寿のお祝いに、みんなで手紙を書きました。,,文の中の 喜寿 の読み方はどれ？,"[""きことぶき"", ""よろこびじゅ"", ""きじゅう"", ""きじゅ""]",3,きじゅ,喜寿は『きじゅ』と読みます。七十七歳を表す言葉です。『喜』の字をくずすと七十七に見えることからきています。
65,vocab1300_p013_005,13,age_word,,卒寿,そつじゅ,九十歳になった祖母の卒寿を、家族でお祝いしました。,,文の中の 卒寿 の読み方はどれ？,"[""そつことぶき"", ""そつじゅ"", ""そつじゅう"", ""そっじゅ""]",1,そつじゅ,卒寿は『そつじゅ』と読みます。九十歳を表す言葉です。『卒』の字が九十に見える形からきています。
66,vocab1300_p015_001,15,meaning_context,,半ば,なかば,マラソンの半ばで、少し足が重くなってきました。,,半ば の意味はどれ？,"[""流れを止めること"", ""ものごとの中ほど"", ""力を十分に出すこと"", ""困りはてること""]",1,ものごとの中ほど,半ばは、ものごとの中ほど、半分くらいのところという意味です。
67,vocab1300_p015_002,15,meaning_context,,せきとめる,せきとめる,大雨で流れてきた枝が、水の流れをせきとめました。,,せきとめる の意味はどれ？,"[""何かをするときの形"", ""力を十分に出すこと"", ""対等にふるまえないこと"", ""流れを止めること""]",3,流れを止めること,せきとめるは、水などの流れを止めることです。
68,vocab1300_p015_003,15,meaning_context,,閉口する,へいこうする,同じ質問を何度もされて、先生は少し閉口していました。,,閉口する の意味はどれ？,"[""どうしてよいか分からず困りはてること"", ""ものごとの中ほど"", ""決まった形で進めること"", ""持っている力を出すこと""]",0,どうしてよいか分からず困りはてること,閉口するは、どうしてよいか分からず、困りはてることです。
69,vocab1300_p015_004,15,meaning_context,,形式,けいしき,発表会は、去年と同じ形式で行われました。,,形式 の意味はどれ？,"[""流れを止めること"", ""困りはてること"", ""何かをするときの決まった形ややり方"", ""相手に引け目を感じること""]",2,何かをするときの決まった形ややり方,形式は、何かをするときの決まった形ややり方のことです。
70,vocab1300_p015_005,15,meaning_context,,発揮,はっき,練習の成果を発揮して、試合でよいプレーができました。,,発揮 の意味はどれ？,"[""持っている力を十分にあらわすこと"", ""ものごとの中ほど"", ""水などの流れを止めること"", ""困ってしまうこと""]",0,持っている力を十分にあらわすこと,発揮は、持っている力を十分にあらわすことです。
71,vocab1300_p015_006,15,meaning_context,,頭が上がらない,あたまがあがらない,いつも助けてもらっているので、その友だちには頭が上がりません。,,頭が上がらない の意味はどれ？,"[""決まった形で進めること"", ""力を十分に出すこと"", ""流れを止めること"", ""相手に引け目を感じ、対等にふるまえないこと""]",3,相手に引け目を感じ、対等にふるまえないこと,頭が上がらないは、相手に引け目や負い目があり、対等にふるまえないことです。
72,vocab1300_p016_001,16,meaning_context,,過ぎない,すぎない,これはまだ練習に過ぎないので、失敗しても大丈夫です。,,過ぎない の意味はどれ？,"[""行ったり来たりすること"", ""相手の機嫌をとること"", ""〜でしかないこと"", ""ありのままであること""]",2,〜でしかないこと,過ぎないは、『〜でしかない』『〜以上のものではない』という意味です。
73,vocab1300_p016_002,16,meaning_context,,こびを売る,こびをうる,ほめてもらうためだけに、先生にこびを売るような態度はよくありません。,,こびを売る の意味はどれ？,"[""相手の機嫌をとること"", ""あつかましいようす"", ""要するにということ"", ""そのままのようす""]",0,相手の機嫌をとること,こびを売るは、相手に気に入られようとして、機嫌をとることです。
74,vocab1300_p016_003,16,meaning_context,,ぬけぬけと,ぬけぬけと,約束を忘れたのに、ぬけぬけと『知らない』と言いました。,,ぬけぬけと の意味はどれ？,"[""行ったり来たりするようす"", ""ありのままのようす"", ""結局のところ"", ""悪いことをしても平気なようす""]",3,悪いことをしても平気なようす,ぬけぬけとは、悪いことをしても平気でいる、あつかましいようすです。
75,vocab1300_p016_004,16,meaning_context,,あるがまま,あるがまま,観察カードには、見たことをあるがままに書きました。,,あるがまま の意味はどれ？,"[""相手の機嫌をとること"", ""かざらず、そのままであること"", ""〜でしかないこと"", ""要するにということ""]",1,かざらず、そのままであること,あるがままは、かざったり変えたりしない、そのままのようすです。
76,vocab1300_p016_005,16,meaning_context,,行きかう,いきかう,駅前では、人や自転車が行きかっていました。,,行きかう の意味はどれ？,"[""行ったり来たりすること"", ""あつかましくすること"", ""ありのままにすること"", ""機嫌をとること""]",0,行ったり来たりすること,行きかうは、人や車などが行ったり来たりすることです。
77,vocab1300_p016_006,16,meaning_context,,さしずめ,さしずめ,チームで一番足が速いその子は、さしずめリレーの切り札です。,,さしずめ の意味はどれ？,"[""〜でしかないこと"", ""そのままのこと"", ""結局のところ、要するに"", ""行ったり来たりすること""]",2,結局のところ、要するに,さしずめは、結局のところ、要するに、という意味です。
78,vocab1300_p017_001,17,meaning_context,,きびきび,きびきび,係の子は、きびきびと教室の準備を進めました。,,きびきび の意味はどれ？,"[""大変急ぐこと"", ""罪をなすりつけられること"", ""元気よく、はっきりしているようす"", ""力を入れること""]",2,元気よく、はっきりしているようす,きびきびは、動きや話し方が元気よく、はっきりしているようすです。
