優先度,ID,ページ,語句,問題種別,正解の意味,例文,指摘内容
medium,vocab1300_p032_001,32,晴れがましい,meaning,華やかで、注目される状態,表彰式で名前を呼ばれて、少し晴れがましい気持ちになりました。,「華やかで、注目される状態」は形容詞「晴れがましい」の意味として不正確。「晴れがましい」は状態ではなく気持ち・感情を表す語で、「晴れの舞台に立っているような、誇らしくもあり少し照れくさいような感覚」が本義。例文は「晴れがましい気持ち」と正しく使われているが、correct_meaningが「状態」と説明しているため、語の品詞的性格や感情的ニュアンスが伝わらない。
medium,vocab1300_p024_006,24,えてして,sentence,とかく、大体の場合において,急いでいるときは、えてして忘れ物をしやすいものです。,「えてして」自体に「〜しがちである・〜になりやすい」という傾向の意味が含まれているため、「しやすいものです」と意味が重複している。自然な形は「えてして忘れ物をするものです」。「えてして〜しやすい」の重ね技法は文法的には誤りではないが、語の意味を正確に学ばせる教材文としては避けるべき。
medium,vocab1300_p027_002,27,終始する,sentence,始めから終わりまで同じことを続けること,話し合いは、始めから終わりまで勉強の話に終始しました。,「終始（する）」自体に「始めから終わりまで」という意味が内包されているため、「始めから終わりまで〜終始しました」は意味が重複している。「話し合いは勉強の話に終始しました」で十分。語の意味を体で覚えさせる観点から、語の意味をなぞった余分な修飾は混乱を招く。
medium,vocab1300_p035_003,35,逆恨み,meaning,相手に逆に恨まれること,危ないことを注意しただけなのに、相手に逆恨みされてしまいました。,correct_meaning が「相手に逆に恨まれること」とまとめているが、逆恨みの本質は『こちらが正しい（または良かれと思ってしたこと）に対して、理不尽にも恨みを向けられること』という筋違い・不当さにある。『逆に恨まれる』だけでは、その不当性・理不尽さのニュアンスが抜けており、意味が不完全。
medium,vocab1300_p037_001,37,犬も食わない,both,だれも相手にしないこと,小さなけんかの話を長く続けても、まわりの人は犬も食わないという顔をしていました。,【意味】『だれも相手にしない』は広すぎる。この慣用句は主に『夫婦・身近な者同士のけんかは当事者以外には迷惑でしかなく、だれも関わりたがらない』という特定のニュアンスを持つ。単なる無関心とは異なり、『関わるのが嫌だ・うんざり』という含みが重要。【例文】『犬も食わないという顔』という表現は不自然。この慣用句は顔つきを表す形容として使う慣用的な用法がなく、『犬も食わないような話だ』『犬も食わないと言わんばかりに』などの形が自然。
medium,vocab1300_p037_003,37,閑古鳥が鳴く,sentence,,雨の日の公園の売店は、閑古鳥が鳴くように静かでした。,『閑古鳥が鳴くように静かでした』は、慣用句を直喩（ように）として使っているため、まるで本当に鳥の鳴き声に例えた比喩のように読める。閑古鳥が鳴くは慣用句としてそのまま使うもので、『閑古鳥が鳴いていました』『閑古鳥が鳴くありさまでした』のように用いるのが自然。『ように静か』という形は慣用句の用法として不自然で、子どもが意味を誤解するおそれがある。
medium,vocab1300_p040_001,40,腹黒い,both,悪い考えを持っているようす,やさしそうに見えても、人をだますつもりなら腹黒い考えです。,【意味】腹黒いの核心は『表面上はそう見せないが、内心に悪意・下心を隠している』という隠蔽・裏腹のニュアンス。単に『悪い考えを持っている』だけではその裏表の性質が伝わらない。【例文】腹黒いは人を形容する語（腹黒い人）として使うのが一般的で、『腹黒い考え』は不自然なコロケーション。また例文は腹黒いの本来の文脈（表と裏のある人物の描写）を示せておらず、語のニュアンスが伝わりにくい。
medium,vocab1300_p042_003,42,洗礼を受ける,meaning,その後に影響する大きな経験をすること,初めての大会で強い相手と当たり、青ちゃんは大きな洗礼を受けました。,correct_meaning が『その後に影響する大きな経験』と広すぎる。洗礼を受けるの比喩的用法は『ある世界・環境に初めて入ったとき、厳しい試練・洗礼（洗礼の試練）にさらされること』というニュアンスが核心。ポジティブな大きな経験には使わず、厳しさ・過酷さを初めて経験するという文脈で使う語であることが伝わらない。
medium,vocab1300_p045_005,45,とりも直さず,sentence,,毎日少しずつ続けることは、とりも直さず力をつける近道です。,とりも直さずは『AはとりもなおさずBだ』の形で『AはつまりBのことだ（A＝B）』という論理的な言い換え・同一性を示す語。この例文は『続けること → 力がつく近道』という因果関係（AがBにつながる）を述べており、A＝Bの言い換えになっていない。語の意味を正しく示せていないため、誤った用法を刷り込む危険がある。
medium,vocab1300_p048_006,48,素手,both,素の（何もつけていない）手。手袋や道具を使わない、剥き出しの手の状態。,熱いなべを素手でさわると危ないので、ミトンを使いましょう。,correct_meaningが「武器や道具などを何も持っていないこと」となっているが、素手の核心的な意味は「手袋など何もつけていない裸の手」である。例文はミトン（鍋つかみ）を使わない状況、すなわち「手を覆うものがない」という意味で素手を使っており、定義の「何も持っていないこと（持ち物の有無）」とはニュアンスがズレている。定義を例文の文脈に合わせるか、例文をより「武器・道具を持たない」場面（格闘・作業など）に修正する必要がある。
medium,vocab1300_p052_003,52,太鼓判を押す,sentence,人物や物のよさが確かだと保証すること（correct_meaning自体は正確）,先生は、その作文のよさに太鼓判を押しました。,「その作文のよさに太鼓判を押しました」という構文が不自然。太鼓判を押す対象は「作文」や「人物」そのものであって、「〜のよさに」という形で「よさ」に押すとぎこちなくなる。「先生は、その作文に太鼓判を押しました」または「先生は、その作文の出来栄えを太鼓判で保証しました」のように直す方が自然。
medium,vocab1300_p052_004,52,曲解する,meaning,物事や言葉の意味を（意図的・非意図的に）ひねくれた方向でとらえること,相手の言葉を曲解せず、まずは本当の意味をたしかめましょう。,correct_meaningに「わざとひねくれて解釈すること」とあるが、曲解は必ずしも意図的（わざと）とは限らない。無意識に相手の言葉を誤ってねじ曲げて受け取ることも曲解と言い、辞書でも「故意かどうかを問わない」ケースが多い。「わざと」を含めると意味が限定的・不正確になり、子どもが「意図しない誤解」には曲解を使えないと誤学習するおそれがある。
medium,vocab1300_p058_003,58,てきめん,sentence,効果が目に見えてよく分かること,早く寝たら、朝の元気にてきめんの効果がありました。,「てきめんの効果」という修飾語形は一般的でなく、文全体が不自然。「てきめん」は「てきめんに効果が表れた」や「効果てきめんだった」のように使うのが自然。「朝の元気にてきめんの効果がありました」という言い回しは小3が読んでも意味が取りにくい。
medium,vocab1300_p061_003,61,柳の下のどじょう,meaning,同じ方法でまた同じ幸運を得ようとすること,一度当たったからといって、また同じ方法で当たるとは限りません。柳の下のどじょうですね。,correct_meaning「同じ方法でまた同じ幸運を得ようとすること」は行動の説明にとどまり、「それはうまくいかない・同じ幸運を期待するのは甘い」という否定的・警告的ニュアンスが抜けている。このことわざは「二度同じ幸運は続かない」という戒めであり、その核心が伝わらない定義になっている。例文の文脈では補っているが、正解表示単体では誤解を招く可能性がある。
medium,vocab1300_p063_003,63,装う,both,違うように見せかけること,青ちゃんは、劇でお姫様を装って舞台に立ちました。,correct_meaning「違うように見せかけること」は「装う」の「ふりをする・欺く」という側面だけを捉えており、最も基本的な「身なりを整える・着飾る」という意味が落ちている。また例文は劇の演技という文脈なので「見せかけ（欺き）」ではなく「扮する・なりきる」の意味で使われており、定義と例文がずれている。例文の「お姫様を装う」は「お姫様に扮する」が正確で、定義の「違うように見せかける」とはニュアンスが異なる。
medium,vocab1300_p068_002,68,あざける,meaning,ばかにして嘲り笑うこと,失敗した友だちをあざけるのではなく、助けたいです。,「あざける（嘲る）」の意味は「ばかにして嘲り笑うこと」であり、「悪口を言う」という要素は本来含まない。嘲笑と悪口は異なる行為で、correct_meaningの「悪口を言ったりすること」という記述は語義を誤って伝えるおそれがある。
medium,vocab1300_p068_005,68,特色,meaning,ほかと比べて、目立つ特徴や性質,この学校の特色は、外で遊ぶ時間が長いことです。,「特色」は良し悪しを問わず「他と比べて目立つ特徴・性質」を指す語であり、「特に良いところ」と限定するのは「特長（とくちょう）」の定義に近い。positive な限定を加えると別の語と混同させるリスクがある。
medium,vocab1300_p069_006,69,手はない,meaning,しないのは損であること・やらないほうがもったいないということ,せっかく近くに図書館があるなら、使わない手はありません。,「（しない）手はない」の意味は「そうしないのは損・やらないほうがもったいない」という利得感を伴う表現であり、「そうするべきだ」という義務・当為とはニュアンスが異なる。correct_meaningの「そうするべきだ」は語義を強めすぎている。
medium,vocab1300_p071_003,71,おくびにも出さない,both,感情や考えを、少しも表に出さないこと,結果を知っていたのに、兄はおくびにも出しませんでした。,correct_meaningが「知っている素振りを見せないこと」に限定されているが、「おくびにも出さない」は感情・不満・意図など広く「少しも外に出さない」という意味で使う語。意味説明が用法を狭めすぎている。また例文の「おくびにも出しませんでした」は、慣用句としては「出さなかった」のほうが自然で、「出しません」という語形は慣用的な形から外れている。
medium,vocab1300_p072_001,72,言いよどむ,both,言いかけてためらい、口ごもること,本当のことを言いにくくて、少し言いよどみました。,「言いよどむ」は「言いかけてためらい、途中で口ごもること」を指す語であり、correct_meaningの「なかなか言い出せない」（言い始める前の躊躇）とはニュアンスがずれている。また例文の「少し言いよどむ」は、動作そのものに程度の副詞「少し」をつけると意味が弱まり、語感が不自然になる。
medium,vocab1300_p083_001,83,ふんばる,meaning,がんばること,最後まであきらめず、ふんばりました。,「がんばること」では「がんばる」との違いが伝わらない。「ふんばる」の核心は、足を踏ん張って踏みとどまるように、苦しい状況でも粘り強く持ちこたえることにある。「がんばる」は努力全般を指すが、「ふんばる」は追い詰められながらも崩れずに耐え続けるニュアンスが特徴的で、その違いが定義から失われている。
medium,vocab1300_p082_004,82,悲劇,sentence,,大雨で大切な写真がぬれてしまい、家族にとって悲劇でした。,「悲劇」は取り返しのつかない深刻な不幸・惨事を指す重い語。「写真が雨でぬれた」という出来事では「悲劇」の重さとかけ離れており、子どもたちが日常的な小さな残念事にも使う言葉だと誤解するおそれがある。「大切な人を亡くす」「家が火事になる」のような重大な例の方がニュアンスを正しく示せる。
medium,vocab1300_p084_004,84,図星,meaning,想像していた通りであること,『宿題を忘れたでしょう』と言われ、図星で何も言えませんでした。,「想像していた通りであること」は視点が曖昧で、誰の想像なのかが不明確。「図星」は「相手の指摘・推測がまさしくその通りで、否定できないこと」を指す。「言われたことがまさにその通りで、言い返せないこと」のように、指摘を受ける側から見た「ずばり当たられた」感覚が定義の核心であり、それが欠けている。
medium,vocab1300_p088_005,88,批判,both,悪いところを指摘し、責めること,作品を批判するときも、よいところと直すところを分けて話したいです。,意味：「悪いところを指摘し、責めること」と定義されているが、「批判」はもともと物事を評価・分析することであり、必ずしも責めを含まない。否定的なニュアンス一色で定義すると語の本来の意味を狭めてしまう。例文：例文自体は「よいところと直すところを分けて話したい」と建設的に描いており、意味の定義と矛盾している。定義と例文のメッセージが食い違っている点も問題。
medium,vocab1300_p087_004,87,なすすべもなく,sentence,,強い雨で外に出られず、なすすべもなく待っていました。,「なすすべもなく」は、手の打ちようが全くない圧倒的な状況（大災害・重病・抗しがたい力など）での深刻な無力感を表す語。「雨が強くて外に出られず待っていた」という状況は「しかたなく待った」程度で、「なすすべもない」ほどの切迫感がなく、語の重さとかけ離れている。
medium,vocab1300_p090_004,90,いちかばちか,sentence,,答えは分からないけれど、いちかばちか手を上げました。,「いちかばちか」は一か八か（ばくち由来）の表現で、大きなリスクを冒してかける・成否が極端に分かれる場面に使う。授業中に答えが分からず手を挙げる程度の場面ではスケールが小さすぎ、語のニュアンス（一発逆転・大勝負）が伝わらない。例：「いちかばちか、最後の一問に全力をかけました」のような高リスク場面が望ましい。
medium,vocab1300_p101_001,101,皮肉,meaning,,友だちに皮肉ばかり言うと、相手を傷つけてしまいます。,correct_meaning「相手が嫌がることを、わざと言うこと」は「悪口」との区別がつかない。皮肉の核心は「遠回しに・反対のことを言う形で相手をくさすこと（嫌みや当てこすり）」にある。直接的な悪口と混同されやすい定義になっている。
medium,vocab1300_p092_002,92,むなしい,meaning,,せっかく作ったのに誰にも見てもらえず、むなしい気持ちになりました。,correct_meaning に「つまらないこと」が含まれているが、「つまらない」は退屈・面白くないという意味に誤解されやすい。むなしい（虚しい）の本質は「心が空洞になるような感覚・努力が報われない徒労感」であり、つまらないとは異なるニュアンスを持つ。説明の「何も得るものがなく」の部分だけでほぼ十分で、「つまらないこと」を加えると意味がずれる。
medium,vocab1300_p093_006,93,けなす,meaning,,友だちの絵をけなすのではなく、よいところを見つけたいです。,correct_meaning の「責めること」が不正確。けなすは「悪口を言ってこきおろす・見下して言う」こと（貶す）であり、「責める」（とがめる）とは異なる。責めるは過失への批判を指すが、けなすは価値を低く見せるような発言をする意味で、正しくは「悪く言って見下すこと」「低く評価するようなことを言うこと」とすべき。
medium,vocab1300_p094_004,94,自前,both,,遠足のおやつは、自前で用意することになりました。,correct_meaning は「自分で費用を負担すること」としているが、例文は「自分で用意すること」の意味で使っている。自前には「費用を自分で払う」と「自分で調達・準備する」の両面があるが、意味と例文がそれぞれ別の側面を指しており、対応がずれている。意味を「自分で費用を出したり、自分で準備したりすること」と補足するか、例文を費用負担の場面（例：道具を自前で買いそろえた）に変えるべき。
medium,vocab1300_p106_004,106,あえない,meaning,哀れで情けない結末になるようす（みじめにあっさり〜する）,強い相手に、試合はあえなく負けてしまいました。,correct_meaningに「期待外れでつまらない」が含まれているが、あえない（あえなし）の本来の意味は「哀れ・みじめ・情けない」であり「つまらない（退屈・面白くない）」ではない。「あえなく敗れる」は「あっさりと情けなく負ける」の意で、退屈さや期待外れとは意味が異なる。「あっけない」と混同した説明に見える。
medium,vocab1300_p106_001,106,お決まり,meaning,いつもきまった型通りのこと・慣例どおりのようす,その人の話は、いつもお決まりの自慢話で終わります。,「ワンパターン」はくだけたスラングで否定的なニュアンスが強い。お決まりは「慣例どおりの・型通りの」という中立的な使い方（例：お決まりの挨拶）もあるため、ワンパターンと等置すると意味が偏る。小学生向け語彙教材の定義語としても「ワンパターン」はふさわしくない。
medium,vocab1300_p103_004,103,アピールする,meaning,自分のよさや考えを、相手に強く訴えかけて印象づけること,面接で、自分のよいところをアピールしました。,「自分を押し出すこと」だけでは意味が不完全で、自己主張に限定して見える。アピールするは「相手や社会に訴えかけること・印象づけること」という他者への働きかけを含む語で、explanationでは「相手に強く示すこと」と補足されているが、correct_meaningの定義が大きく省略されすぎている。
medium,vocab1300_p108_001,108,往々にして,meaning,しばしば・よくそういうことが起きがちであること,あわてていると、往々にして大事なことを忘れます。,「ときどき」は頻度・語感ともに往々にしてより弱く、同義語として並べると誤解を招く。往々にしては「そういうことがよく起きがちだ」という傾向・高頻度を含む語で、ときどき（時折）より明らかに強い。しばしば・よく〜しがちだ、が適切。
medium,vocab1300_p105_006,105,横着,sentence,,横着をして近道をしたら、かえって時間がかかりました。,「近道をした」は横着の例として分かりにくい。地理的な近道を選ぶことは合理的な判断であり、必ずしも横着（すべきことを怠る・手を抜く）とは言えない。例文後半「かえって時間がかかった」は結果の教訓に焦点が当たり、横着の意味（怠けて手を抜くこと）を直接示す例になっていない。
medium,vocab1300_p117_001,117,患う,meaning,病気になること,祖父は長い間、足の病気を患っていました。,「病気になること」という定義は広すぎる。患うは単に病気になることではなく、重い病気や慢性的な病を長期にわたって抱え苦しむことを指す。風邪などの軽い病気には使わない。例文は「長い間」という語で正しい使い方を示しているが、定義がそれを反映できていない。
medium,vocab1300_p113_002,113,水かけ論,meaning,お互いにゆずらず、議論を続けること,どちらも自分が正しいと言い続け、話し合いは水かけ論になりました。,水かけ論の核心は「どちらも引かず、いつまでたっても結論が出ない（無益な）議論」という点にある。「議論を続けること」という定義では、熱心な建設的議論との区別がつかない。「結論が出ないまま」「無駄に続く」という不毛さのニュアンスが抜け落ちている。
medium,vocab1300_p125_002,125,否定,meaning,間違いであると言うこと,母は、私の意見をすぐに否定せず、最後まで聞いてくれました。,「否定」の本来の意味は「打ち消すこと・認めないこと・否と言うこと」。correct_meaningの「間違いであると言うこと」は意味を狭く限定しすぎており、例文の「意見を否定する」は「意見が間違いと言う」よりも「意見を認めない・受け入れない」に近い。定義と例文の意味がずれている。
medium,vocab1300_p129_004,129,なぞらえる,meaning,似ているものと比較して考えること,先生は、人生を山登りになぞらえて話しました。,「なぞらえる（準える）」は「見立てる・たとえる」という意味が核心であり、「比較して考えること」とは方向性が異なる。「比較」は二つを並べて違いを考える行為だが、「なぞらえる」は一方を他方にあてはめて見立てるという意味。explanationでは「たとえること」と補足しているが、correct_meaningが誤った表現になっている。
medium,vocab1300_p131_002,131,あっけない,meaning,思ったより簡単で物足りないこと,楽しみにしていた勝負は、すぐに終わってあっけないものでした。,「あっけない（呆気ない）」の核心は「拍子抜けするほど早く・あっさり終わった」こと。「簡単」という語が不正確で、たとえば強い相手にすぐ負けた場合もあっけないと表現できるが、それは「簡単」ではない。「あっさり終わって物足りない」「拍子抜けする」という方向で定義すべき。
medium,vocab1300_p126_002,126,日夜,meaning,いつも、つねに,兄は日夜、サッカーの練習に励んでいます。,「日夜（にちや）」は「昼も夜も（絶え間なく）」という意味が基本。「いつも・つねに」では休みなく精力的に取り組むという強調ニュアンスが失われる。例文の「練習に励んでいます」とは合っているが、correct_meaningが本来の「昼も夜も」という意味から離れすぎている。
medium,vocab1300_p132_006,132,憔悴しきる,meaning,強いショックや心配で、すっかり元気をなくすこと,迷子の犬を一日中探して、家族は憔悴しきっていました。,「憔悴（しょうすい）」は「疲労・苦労・病気などで心身が衰弱し、やつれること」が本義。「強いショック」は憔悴の主な原因にはなりにくく、むしろ「長期の疲労・苦労・心労で衰弱する」が正確。例文の「一日中探して」は疲労の文脈で自然だが、correct_meaningの「ショック」という語が実態と合っていない。
medium,vocab1300_p143_003,143,矢も盾もたまらない,sentence,,新しい本が届くと聞いて、矢も盾もたまらず本屋へ走りました。,「本が届くと聞いて」は自宅に配送されると読むのが自然であり、そうであれば「本屋へ走る」行動と矛盾する。本屋に行く文脈なら「新しい本が発売されると聞いて」など入手先が本屋になる表現が適切。子どもが読んだとき状況が理解できない。
medium,vocab1300_p136_002,136,万能,both,,その道具は切ることも量ることもできる万能な道具です。,correct_meaningの「多才」は人間の多方面な才能を指す語であり、道具・物に使う言葉ではない。一方、例文は道具に対して「万能」を使っており、意味定義と例文の対象が食い違っている。「何にでも使える・何でもできること」のように改めると統一できる。
medium,vocab1300_p137_002,137,何食わぬ顔,meaning,,弟はお菓子を食べたのに、何食わぬ顔で座っていました。,correct_meaningの「本当は知っているのに、知らないふりをすること」は狭すぎる。何食わぬ顔は「何もしていないかのように平気な顔をしていること」が本義であり、知る／知らないに限らず行動を隠す場合にも使う。例文（お菓子を食べたのに知らん顔）は正しい用例だが、意味定義が「知らないふり」に限定しているため、例文と意味がずれて見える。
medium,vocab1300_p143_005,143,老化,sentence,,道具も長く使うと、少しずつ老化して使いにくくなります。,老化は生き物（人・動物）が年を取って衰えることを指す語。道具・機器の劣化には「劣化する」が標準的。correct_meaningに「物の働きが衰えること」と記載して無理に拡張しているが、実際の語感・辞書的用法から外れており、子どもが誤用を覚えるリスクがある。
medium,vocab1300_p156_004,156,企てる,both,計画を立てること,兄は、みんなを驚かせる作戦を企てました。,correct_meaningが「計画を立てること」と中立的に定義されているが、企てるは悪事・陰謀・策略など負のニュアンスを帯びる語。単なる計画と混同させるおそれがある。例文の「みんなを驚かせる作戦」も楽しいサプライズのような印象で、この語が持つ「たくらむ」感を伝えられていない。
medium,vocab1300_p160_005,160,中断,meaning,途中でやめること,悪天候のため、試合を中断しました。,「途中でやめること」と説明されているが、中断は「一時的に止めること（後で再開する余地がある）」が核心。完全にやめる「中止」との違いが大事なのに、定義が中止と区別できない表現になっている。
medium,vocab1300_p161_002,161,よりによって,meaning,他にもよい選択があるのに、あえてそれを選ぶようす,よりによって、大事な日に雨が降りました。,correct_meaningが「他にもよい選択があるのに、あえてそれを選ぶようす」と意図的な選択のように説明されているが、例文の「雨が降りました」は誰かが選んだわけでない自然現象。よりによってはどちらにも使えるが、「あえて選ぶ」という表現が意図的行為に限定して誤解させる可能性がある。「よりにもよってこのタイミングで」という嘆き・呆れのニュアンスの説明が必要。
medium,vocab1300_p162_005,162,あらわにする,sentence,隠さないで、はっきり見えるようにすること,調査で、問題の原因があらわになりました。,見出し語は他動詞の「あらわにする」（〜をあらわにする）だが、例文は「問題の原因があらわになりました」と自動詞的な「〜になる」形で使われている。教えている語形と例文の語形が一致しておらず、子どもが用法を正しく学べない。
medium,vocab1300_p164_005,164,まどろむ,meaning,少しの間、眠ること,音楽を聞いているうちに、少しまどろんでしまいました。,「少しの間、眠ること」と定義されているが、まどろむは「うとうとする・半分眠りに入った状態」が核心であり、しっかり眠ることではない。「眠ること」という表現では浅い微睡みというニュアンスが伝わらない。
medium,vocab1300_p168_001,168,きざ,sentence,きどっている様子（否定的ニュアンス：鼻につく、不快に思われる）,その人は、きざなせりふを言ってみんなを笑わせました。,きざは「きどっていて不快・鼻につく」という否定的なニュアンスが核心だが、例文では「みんなを笑わせた」と結果が好意的に描かれており、むしろ場を和ませる愛嬌ある人物に見える。否定的ニュアンスが伝わらず、語感を誤学習させる恐れがある。
medium,vocab1300_p169_005,169,臥薪嘗胆,meaning,苦難や辛苦に耐えながら、目的達成のために努力し続けること,次こそ勝つために、チームは臥薪嘗胆の日々を送りました。,correct_meaningの「目的のために、一所懸命努力すること」は単なる「一生懸命がんばること」と区別がつかない。臥薪嘗胆の核心は「辛苦・苦難に耐えながら（薪の上に寝て苦い肝を嘗めて）目的を果たすこと」という辛抱・忍耐の要素であり、この語独自の意味が失われている。
medium,vocab1300_p169_006,169,悪事千里を走る,sentence,悪いうわさは、すぐに広まるというたとえ,悪い評判はすぐに広まります。悪事千里を走るですね。,例文が「意味の説明文＋ことわざの引用」という構造になっており、ことわざをその場で解説するような不自然な使い方になっている。「悪事千里を走るですね」という締め方も口語的すぎる。ことわざを自然な文脈で使った例文になっていない。
medium,vocab1300_p172_004,172,潤い,meaning,適度な湿り気。転じて、心や生活に豊かさや温かみをもたらすもの。,クリームをぬると、手に潤いが戻りました。,correct_meaningが「適度な湿り気」のみで、比喩的・精神的な意味（「生活に潤いをもたらす」「心の潤い」など、豊かさ・ゆとり・温かみ）が一切含まれていない。「潤い」は日常語で比喩用法のほうが頻出であり、物理的な湿気の意味だけでは語彙習得として不十分。
medium,vocab1300_p185_004,185,衝撃,meaning,ぶつかったときに加えられる力。また、心に強い打撃を与えるような出来事やそのおどろき。,転んだときの衝撃で、ひざを打ちました。,correct_meaningが「ぶつかったときに加えられる力」と物理的な意味のみに限定されている。「衝撃を受ける」「衝撃的な出来事」など、精神的・感情的なショックの意味も日常的に同程度よく使われるにもかかわらず、その用法が説明から完全に抜けている。小学生がこの語を習得する上で、感情的な意味のほうが遭遇頻度が高い可能性がある。
medium,vocab1300_p186_005,186,胸に手を当てて,meaning,自分の良心や行いをじっくりと振り返って考えること。,自分のしたことを、胸に手を当てて考えてみました。,correct_meaningが「落ち着いて、じっくり考えて」となっているが、この表現の核心的なニュアンスは「自分の良心・内省に問いかけること」であり、単なる「冷静にゆっくり考える」こととは異なる。自分の行いや良心を振り返るという自己反省の文脈で使われる慣用表現であることが伝わらない。例文は「自分のしたことを」と書かれており、自己反省の用法を示しているが、意味の説明がそれとずれている。
medium,vocab1300_p185_003,185,促す,meaning,相手が何かをするように働きかけること。,先生は、早く帰るように生徒を促しました。,correct_meaningが「早く何かをするように仕向けること」と「早く」が組み込まれているが、「促す」は急かすだけでなく「行動・変化をうながす」広い意味を持つ語。「成長を促す」「反省を促す」など速さとは無関係な用法も多い。「早く」を組み込んだ定義だと、同バッチ内の「せきたてる」との区別がつきにくくなる恐れがある。
medium,vocab1300_p185_001,185,見せしめ,sentence,,先生は見せしめのために、一人だけ大声で叱ることはしませんでした。,例文が「〜しませんでした」という否定形で語の概念を間接的に説明する構造になっており、語句が実際に使われている場面を直接示していない。語彙例文として、語句が肯定的・具体的に使われている文のほうが意味の定着には適している。「先生が○○を見せしめにして…」のような直接使用例が望ましい。
