No.,ID,ページ,語句,読み,正解の意味,例文,解説
35,vocab1300_p008_005,8,目が高い,めがたかい,物や人のよしあしを見分ける力があること,その絵のよさに気づくなんて、君は目が高いね。,目が高いは、物や人のよしあしを見分ける力があることです。
36,vocab1300_p008_006,8,こき使う,こきつかう,人を休ませず、ひどく働かせること,弟に片づけを全部させて、こき使うのはよくありません。,こき使うは、人を休ませず、ひどく働かせることです。
37,vocab1300_p009_001,9,よりほかない,よりほかない,それ以外に方法がないこと,電車が止まってしまったので、歩いて帰るよりほかありません。,よりほかないは、それ以外に方法がないという意味です。
38,vocab1300_p009_002,9,相性,あいしょう,相手と気持ちや調子が合うかどうか,その友だちとは相性がよく、すぐに仲よくなりました。,相性は、相手と気持ちや調子が合うかどうかということです。
39,vocab1300_p009_003,9,弱みにつけこむ,よわみにつけこむ,相手の弱いところを利用すること,相手の弱みにつけこむようなやり方は、正しいとは言えません。,弱みにつけこむは、相手の弱いところを利用して、自分に都合よくすることです。
40,vocab1300_p009_004,9,いぶかしい,いぶかしい,はっきりしなくて、あやしく思うようす,だれもいないはずの部屋から音がして、いぶかしく思いました。,いぶかしいは、はっきりしなくて、あやしく思うようすです。
41,vocab1300_p009_005,9,さすらう,さすらう,あてもなく、あちこち歩き回ること,物語の主人公は、知らない国をさすらいました。,さすらうは、あてもなく、あちこち歩き回ることです。
42,vocab1300_p009_006,9,率直,そっちょく,かざらず、ありのままに言うようす,先生に、作文の感想を率直に伝えました。,率直は、かざらず、ありのままに言うようすです。
43,vocab1300_p010_001,10,そりが合わない,そりがあわない,考え方や性格が合わないこと,その子とは遊び方の考えがちがって、少しそりが合いません。,そりが合わないは、考え方や性格が合わないという意味です。
44,vocab1300_p010_002,10,歯を食いしばる,はをくいしばる,苦しさやつらさにたえること,最後まで走るために、歯を食いしばってがんばりました。,歯を食いしばるは、苦しさやつらさにじっとたえることです。
45,vocab1300_p010_003,10,丹念,たんねん,心をこめて細かくていねいにするようす,ノートの図を、丹念に色分けしてまとめました。,丹念は、心をこめて、細かいところまでていねいにするようすです。
46,vocab1300_p010_004,10,信念,しんねん,自分が正しいと強く信じる気持ち,その選手は、必ずうまくなるという信念を持って練習しました。,信念は、自分が正しいと強く信じる気持ちです。
47,vocab1300_p010_005,10,妨害,ぼうがい,人の行動や物事の進みをじゃますること,話している人の前で大声を出すと、発表の妨害になります。,妨害は、人の行動や物事の進みをじゃますることです。
48,vocab1300_p010_006,10,得体の知れない,えたいのしれない,正体や本当の姿がよく分からないこと,森の奥から、得体の知れない音が聞こえてきました。,得体の知れないは、正体や本当の姿がよく分からないという意味です。
49,vocab1300_p011_001,11,眉をひそめる,まゆをひそめる,心配や不快なことで顔をしかめること,友だちが人の悪口を言っているのを聞いて、先生は眉をひそめました。,眉をひそめるは、心配や不快なことで、顔をしかめることです。
50,vocab1300_p011_002,11,つど,つど,そうするたびに,図書室へ行くつど、新しい本を一冊ずつ借りています。,つどは、そうするたびに、毎回という意味です。
51,vocab1300_p011_003,11,さほど,さほど,それほど、たいして,テスト前は心配でしたが、問題はさほど難しくありませんでした。,さほどは、それほど、たいして、という意味です。多くの場合、後ろに打ち消しの言葉が続きます。
52,vocab1300_p011_004,11,側面,そくめん,ものごとの一つの面や見方,その出来事には、楽しい側面だけでなく、反省するところもありました。,側面は、ものごとの一つの面や見方のことです。
53,vocab1300_p011_005,11,良心,りょうしん,正しいことをしようとする心,落とし物を見つけたので、良心にしたがって先生に届けました。,良心は、正しいことをしようとする心のことです。
54,vocab1300_p011_006,11,もたらす,もたらす,何かを起こしたり持ってきたりすること,毎日の練習は、少しずつよい結果をもたらしました。,もたらすは、何かを持ってきたり、よいこと・悪いことを起こしたりすることです。
55,vocab1300_p012_001,12,口下手,くちべた,話すことがあまり上手ではないこと,発表の内容は考えていたのに、みんなの前に出るとうまく話せませんでした。わたしは少し口下手です。,口下手は、話すことがあまり上手ではないことです。話したくない、という意味ではありません。
56,vocab1300_p012_002,12,客観的,きゃっかんてき,いろいろな見方から考えること,けんかの話を聞くときは、どちらか一人の気持ちだけで決めず、客観的に考えることが大切です。,客観的は、自分の気持ちだけでなく、広い見方で考えることです。
57,vocab1300_p012_003,12,居ても立ってもいられない,いてもたってもいられない,心配などでじっとしていられないこと,大切なぬいぐるみが見つからなくて、青ちゃんは居ても立ってもいられませんでした。,居ても立ってもいられないは、心配やうれしさなどで落ち着かず、じっとしていられないようすです。
58,vocab1300_p012_004,12,したたか,したたか,ねばり強く、簡単には負けないようす,相手チームに先に点を取られても、最後まであきらめず、したたかに試合を続けました。,したたかは、すぐに負けたりあきらめたりせず、ねばり強いようすです。悪い意味で使われることもありますが、ここでは強さを表しています。
59,vocab1300_p012_005,12,兼ねる,かねる,一つのものや人が、二つ以上の役目をすること,この箱は、おもちゃ入れといすの二つの役目を兼ねています。,兼ねるは、一つのものや人が、二つ以上の役目をすることです。
60,vocab1300_p012_006,12,陰口,かげぐち,本人がいないところで言う悪口,その人がいないところで悪く言うのは、陰口になるのでやめた方がよいです。,陰口は、本人がいないところで言う悪口です。本人に直接伝える注意や相談とはちがいます。
61,vocab1300_p013_001,13,不惑,ふわく,ふわく,四十歳のお祝いで、不惑という言葉を知りました。,不惑は『ふわく』と読みます。四十歳を表す言葉です。
62,vocab1300_p013_002,13,還暦,かんれき,かんれき,祖父の還暦のお祝いに、家族で赤い花を用意しました。,還暦は『かんれき』と読みます。六十歳を表す言葉です。
63,vocab1300_p013_003,13,白寿,はくじゅ,はくじゅ,ひいおばあちゃんの白寿を祝って、みんなで写真を撮りました。,白寿は『はくじゅ』と読みます。九十九歳を表す言葉です。『百』から『一』を取ると『白』になることからきています。
64,vocab1300_p013_004,13,喜寿,きじゅ,きじゅ,おばあちゃんの喜寿のお祝いに、みんなで手紙を書きました。,喜寿は『きじゅ』と読みます。七十七歳を表す言葉です。『喜』の字をくずすと七十七に見えることからきています。
65,vocab1300_p013_005,13,卒寿,そつじゅ,そつじゅ,九十歳になった祖母の卒寿を、家族でお祝いしました。,卒寿は『そつじゅ』と読みます。九十歳を表す言葉です。『卒』の字が九十に見える形からきています。
66,vocab1300_p015_001,15,半ば,なかば,ものごとの中ほど,マラソンの半ばで、少し足が重くなってきました。,半ばは、ものごとの中ほど、半分くらいのところという意味です。
67,vocab1300_p015_002,15,せきとめる,せきとめる,流れを止めること,大雨で流れてきた枝が、水の流れをせきとめました。,せきとめるは、水などの流れを止めることです。
68,vocab1300_p015_003,15,閉口する,へいこうする,どうしてよいか分からず困りはてること,同じ質問を何度もされて、先生は少し閉口していました。,閉口するは、どうしてよいか分からず、困りはてることです。
69,vocab1300_p015_004,15,形式,けいしき,何かをするときの決まった形ややり方,発表会は、去年と同じ形式で行われました。,形式は、何かをするときの決まった形ややり方のことです。
70,vocab1300_p015_005,15,発揮,はっき,持っている力を十分にあらわすこと,練習の成果を発揮して、試合でよいプレーができました。,発揮は、持っている力を十分にあらわすことです。
71,vocab1300_p015_006,15,頭が上がらない,あたまがあがらない,相手に引け目を感じ、対等にふるまえないこと,いつも助けてもらっているので、その友だちには頭が上がりません。,頭が上がらないは、相手に引け目や負い目があり、対等にふるまえないことです。
72,vocab1300_p016_001,16,過ぎない,すぎない,〜でしかないこと,これはまだ練習に過ぎないので、失敗しても大丈夫です。,過ぎないは、『〜でしかない』『〜以上のものではない』という意味です。
73,vocab1300_p016_002,16,こびを売る,こびをうる,相手の機嫌をとること,ほめてもらうためだけに、先生にこびを売るような態度はよくありません。,こびを売るは、相手に気に入られようとして、機嫌をとることです。
74,vocab1300_p016_003,16,ぬけぬけと,ぬけぬけと,悪いことをしても平気なようす,約束を忘れたのに、ぬけぬけと『知らない』と言いました。,ぬけぬけとは、悪いことをしても平気でいる、あつかましいようすです。
75,vocab1300_p016_004,16,あるがまま,あるがまま,かざらず、そのままであること,観察カードには、見たことをあるがままに書きました。,あるがままは、かざったり変えたりしない、そのままのようすです。
76,vocab1300_p016_005,16,行きかう,いきかう,行ったり来たりすること,駅前では、人や自転車が行きかっていました。,行きかうは、人や車などが行ったり来たりすることです。
77,vocab1300_p016_006,16,さしずめ,さしずめ,結局のところ、要するに,チームで一番足が速いその子は、さしずめリレーの切り札です。,さしずめは、結局のところ、要するに、という意味です。
78,vocab1300_p017_001,17,きびきび,きびきび,元気よく、はっきりしているようす,係の子は、きびきびと教室の準備を進めました。,きびきびは、動きや話し方が元気よく、はっきりしているようすです。
79,vocab1300_p017_002,17,濡れ衣,ぬれぎぬ,自分が悪くないのに罪をなすりつけられること,落書きをしたのは別の人なのに、わたしが疑われて濡れ衣を着せられました。,濡れ衣は、自分が悪くないのに、罪や失敗をなすりつけられることです。
80,vocab1300_p017_003,17,成熟,せいじゅく,十分に成長し、発達していること,そのリンゴは赤くなり、十分に成熟していました。,成熟は、十分に成長し、発達していることです。
81,vocab1300_p017_004,17,至急,しきゅう,とても急ぐこと,水とうを忘れたので、至急、教室へ取りに戻りました。,至急は、とても急ぐこと、大急ぎという意味です。
82,vocab1300_p017_005,17,とっぴ,とっぴ,普通と大きくちがっているようす,その子は、とっぴなアイデアを出して、みんなをおどろかせました。,とっぴは、普通と大きくちがっていて、思いがけないようすです。
83,vocab1300_p017_006,17,力む,りきむ,力を入れること,本番で力みすぎて、いつもより手がかたくなりました。,力むは、体や気持ちに力を入れることです。
84,vocab1300_p018_001,18,腕によりをかける,うでによりをかける,自分の力を十分に出そうとはりきること,お母さんの誕生日に、姉は腕によりをかけて料理を作りました。,腕によりをかけるは、自分の力を十分に出そうと、はりきることです。
85,vocab1300_p018_002,18,手頃,てごろ,ちょうどよく扱いやすいこと,この本はページ数が少なく、読書を始めるには手頃です。,手頃は、ちょうどよく、扱いやすいという意味です。
86,vocab1300_p018_003,18,あごを出す,あごをだす,疲れてへとへとになること,長い坂道を走って、ゴールのころにはあごを出していました。,あごを出すは、疲れてへとへとになることです。
87,vocab1300_p018_004,18,薄情,はくじょう,冷たくて思いやりがないこと,困っている人を見ても知らんぷりするのは、薄情な態度です。,薄情は、冷たくて思いやりがないことです。
88,vocab1300_p018_005,18,いたたまれない,いたたまれない,つらくてその場にじっとしていられないこと,友だちを傷つける言葉を聞いて、いたたまれない気持ちになりました。,いたたまれないは、つらくて、その場にじっとしていられない気持ちになることです。
89,vocab1300_p018_006,18,手当たり次第,てあたりしだい,手にふれたものや目についたものを次々と行うこと,なくした消しゴムを、机の中から手当たり次第に探しました。,手当たり次第は、順番を考えず、手にふれたものや目についたものを次々と行うことです。
90,vocab1300_p019_001,19,難なく,なんなく,何の問題もなく、かんたんに,練習していたので、その問題を難なく解くことができました。,難なくは、何の問題もなく、かんたんに、という意味です。
91,vocab1300_p019_002,19,頭をかかえる,あたまをかかえる,悩みや心配ごとのために困ること,宿題がたくさん残っていて、青ちゃんは頭をかかえました。,頭をかかえるは、悩みや心配ごとのために困ることです。
92,vocab1300_p019_003,19,まざまざと,まざまざと,はっきりと目に見えるように,旅行で見た海の色を、今でもまざまざと思い出せます。,まざまざとは、はっきりと目に見えるように感じることです。
93,vocab1300_p019_004,19,しどろもどろ,しどろもどろ,話し方がまとまらないようす,急に聞かれて、答えがしどろもどろになりました。,しどろもどろは、話し方がまとまらず、うまく説明できないようすです。
94,vocab1300_p019_005,19,ほおをふくらます,ほおをふくらます,不満や不機嫌な気持ちを顔に出すこと,ゲームを途中でやめることになり、弟はほおをふくらませました。,ほおをふくらますは、不満や不機嫌な気持ちを顔に出すことです。
95,vocab1300_p019_006,19,口頭,こうとう,文章ではなく、口で伝えること,予定の変更は、先生から口頭で伝えられました。,口頭は、文章ではなく、口で伝えることです。
96,vocab1300_p020_001,20,秩序,ちつじょ,決まりや整った状態,みんなが気持ちよく使えるように、図書室の秩序を守りましょう。,秩序は、みんなが気持ちよく過ごすための決まりや、整った状態のことです。
97,vocab1300_p020_002,20,真相,しんそう,物事の本当のこと,先生は、けんかの真相をみんなから聞きました。,真相は、物事の本当のことです。
98,vocab1300_p020_003,20,仰ぐ,あおぐ,上を見上げること,夜空を仰ぐと、星がたくさん見えました。,仰ぐは、上を見上げるという意味です。
99,vocab1300_p020_004,20,後味,あとあじ,物事のあとに残る感じや気分,友だちにきつく言いすぎて、後味の悪い気持ちになりました。,後味は、物事が終わったあとに残る感じや気分のことです。
100,vocab1300_p020_005,20,感服,かんぷく,立派な行動や態度に深く感心すること,最後まであきらめない友だちの姿に、みんな感服しました。,感服は、立派な行動や態度に深く感心することです。
101,vocab1300_p020_006,20,正常,せいじょう,変わったところがなく正しい状態,こわれたと思った時計は、今は正常に動いています。,正常は、変わったところがなく、正しい状態であることです。
102,vocab1300_p021_001,21,挑発,ちょうはつ,相手の気持ちを乱して何かをさせようとすること,相手にわざといやなことを言われても、挑発に乗らないようにしました。,挑発は、相手の気持ちを乱して、何かをさせようとすることです。
103,vocab1300_p021_002,21,公算,こうさん,あることが起こる見込みや可能性,練習の様子を見ると、試合に勝つ公算は高そうです。,公算は、あることが起こる見込みや可能性のことです。
104,vocab1300_p021_003,21,概念,がいねん,物事のおおよその意味や考え,先生は、『公平』という概念を、身近な例で説明してくれました。,概念は、ある物事のおおよその意味や考えのことです。
105,vocab1300_p021_004,21,口論,こうろん,言い争い、口げんか,意見が合わず、二人は口論になってしまいました。,口論は、言い争いや口げんかのことです。
106,vocab1300_p021_005,21,腹に収める,はらにおさめる,怒りや不満を外に出さずにこらえること,言いたいことはありましたが、けんかにならないように腹に収めました。,腹に収めるは、怒りや不満を外に出さずに、こらえることです。
107,vocab1300_p021_006,21,借りてきた猫のよう,かりてきたねこのよう,いつもと違って、とてもおとなしいようす,いつもは元気な弟が、知らない人の前では借りてきた猫のようでした。,借りてきた猫のようは、いつもと違って、とてもおとなしいようすです。
108,vocab1300_p022_001,22,首を縦にふる,くびをたてにふる,うなずいて、相手の意見に賛成すること,何度お願いしても、母はなかなか首を縦にふってくれませんでした。,首を縦にふるは、うなずいて、相手の意見に賛成することです。
109,vocab1300_p022_002,22,たち,たち,生まれながらに持っている人柄や性質,姉は小さいころから、がまん強いたちです。,たちは、生まれながらに持っている人柄や性質のことです。
110,vocab1300_p022_003,22,外見,がいけん,うわべや見かけ,外見だけでは、その人のよさは分かりません。,外見は、うわべや見かけのことです。
111,vocab1300_p022_004,22,率いる,ひきいる,多くの人をまとめて連れて行くこと,先生はクラスのみんなを率いて、体育館へ向かいました。,率いるは、多くの人をまとめて連れて行くことです。
112,vocab1300_p022_005,22,ほてる,ほてる,顔や体が熱っぽくなり、赤くなること,走ったあと、顔がほてって赤くなりました。,ほてるは、顔や体が熱っぽくなり、赤くなることです。
113,vocab1300_p022_006,22,いかつい,いかつい,かたくて、ごつごつしているようす,その岩は大きくて、いかつい形をしていました。,いかついは、かたくて、ごつごつしているようすです。
114,vocab1300_p023_001,23,安静,あんせい,体を休めて静かにしていること,熱があるので、今日は家で安静にしていました。,安静は、体を休めて静かにしていることです。
115,vocab1300_p023_002,23,根をおろす,ねをおろす,物事が定着したり受け入れられたりすること,その新しい習慣は、少しずつクラスに根をおろしました。,根をおろすは、物事が定着したり、受け入れられたりすることです。
116,vocab1300_p023_003,23,ねぎらう,ねぎらう,苦労してくれたことに感謝すること,先生は、準備をがんばった係の人たちをねぎらいました。,ねぎらうは、苦労してくれたことに感謝することです。
117,vocab1300_p023_004,23,いさかい,いさかい,けんか、言い争い,小さないさかいが起きたので、先生が話を聞きました。,いさかいは、けんかや言い争いのことです。
118,vocab1300_p023_005,23,手招き,てまねき,こちらへ来るように手で合図すること,母は、こちらへ来るように手招きしました。,手招きは、こちらへ来るように手で合図することです。
119,vocab1300_p023_006,23,率先,そっせん,自分から先頭に立って行動すること,青ちゃんは率先して、教室の片づけを手伝いました。,率先は、自分から先頭に立って行動することです。
120,vocab1300_p024_001,24,消極的,しょうきょくてき,自分から進んで何かをしようとしないようす,授業参観で、いつもは手をあげる青ちゃんが消極的でした。,消極的は、自分から進んで何かをしようとしないようすです。
121,vocab1300_p024_002,24,そくざに,そくざに,すぐに、その場ですぐ,名前を呼ばれて、そくざに返事をしました。,そくざには、すぐに、その場ですぐ、という意味です。
122,vocab1300_p024_003,24,くまなく,くまなく,すみずみまで、残すところなく,なくしたハンカチを、部屋の中でくまなく探しました。,くまなくは、すみずみまで、残すところなく、という意味です。
123,vocab1300_p024_004,24,試み,こころみ,試しに何かをやってみること,先生は、新しい方法で授業をする試みをしました。,試みは、試しに何かをやってみることです。
124,vocab1300_p024_005,24,いささか,いささか,少し、ちょっと,その話は、いささか大げさに聞こえました。,いささかは、少し、ちょっと、という意味です。
125,vocab1300_p024_006,24,えてして,えてして,とかく、大体の場合において,急いでいるときは、えてして忘れ物をしやすいものです。,えてしては、とかく、大体の場合において、という意味です。
126,vocab1300_p025_001,25,ごうごう,ごうごう,大きな音が響いて騒がしいようす,台風の日、外では風がごうごうと鳴っていました。,ごうごうは、大きな音が響いて、騒がしいようすです。
127,vocab1300_p025_002,25,さんさん,さんさん,太陽などが明るく光り輝くようす,夏の朝、太陽がさんさんと照っていました。,さんさんは、太陽などが明るく光り輝くようすです。
128,vocab1300_p025_003,25,とうとう,とうとう,水などがとめどなく流れるようす,山の雪がとけて、川の水がとうとうと流れていました。,とうとうは、水などがとめどなく流れるようすです。
129,vocab1300_p025_004,25,まんまん,まんまん,いっぱいに満ちているようす,大きな池には、水がまんまんとたたえられていました。,まんまんは、いっぱいに満ちているようすです。
130,vocab1300_p025_005,25,こうこう,こうこう,明るく、きらきらと輝くようす,夜道に、車のライトがこうこうと輝いていました。,こうこうは、明るく、きらきらと輝くようすです。
131,vocab1300_p025_006,25,せつせつ,せつせつ,心に強くうったえかけるようす,その人は、平和への願いをせつせつと語りました。,せつせつは、心に強くうったえかけるようす、思いがこもっているようすです。
132,vocab1300_p027_001,27,けなげ,けなげ,ひたむきで一生懸命なようす,小さな子が、転んでも泣かずに走り続ける姿はけなげでした。,けなげは、ひたむきで、一生懸命なようすです。
133,vocab1300_p027_002,27,終始する,しゅうしする,始めから終わりまで同じことを続けること,話し合いは、始めから終わりまで勉強の話に終始しました。,終始するは、始めから終わりまで同じことを続けることです。
134,vocab1300_p027_003,27,創造,そうぞう,新しいものをつくり出すこと,空き箱を使って、新しいおもちゃを創造しました。,創造は、新しいものをつくり出すことです。
135,vocab1300_p027_004,27,足手まとい,あしでまとい,まわりについて、じゃまになること,小さい子を連れて急ぐと、本人に悪気はなくても足手まといになることがあります。,足手まといは、まわりについて、じゃまになることです。
136,vocab1300_p027_005,27,見聞,けんぶん,見たり聞いたりすること,旅行先でいろいろなものを見て、見聞を広めました。,見聞は、見たり聞いたりすることです。見聞を広めるとは、経験を広げることです。
137,vocab1300_p027_006,27,やおら,やおら,ゆっくりと動き出して,校長先生は、やおら立ち上がって話し始めました。,やおらは、ゆっくりと動き出すようすです。おもむろに、という意味です。
138,vocab1300_p028_001,28,共倒れ,ともだおれ,両方とも無理をして、どちらもだめになること,二人とも無理をして練習しすぎたため、試合前に共倒れになりました。,共倒れは、両方とも無理をした結果、どちらもだめになることです。
139,vocab1300_p028_002,28,薄笑い,うすわらい,相手を軽く見るような、かすかな笑い,失敗した人を見て薄笑いを浮かべるのは、よい態度ではありません。,薄笑いは、相手を軽く見るような、かすかな笑いです。
140,vocab1300_p028_003,28,典型的,てんけいてき,あるものの特徴をよく表しているようす,鼻水とせきが出るのは、典型的な風邪の症状です。,典型的は、あるものの特徴をよく表しているようすです。
141,vocab1300_p028_004,28,思い上がる,おもいあがる,自分をえらいと思いすぎて、いい気になること,一度ほめられただけで思い上がらず、練習を続けることが大切です。,思い上がるは、自分をえらいと思いすぎて、いい気になることです。
142,vocab1300_p028_005,28,足を引っ張る,あしをひっぱる,うまくいっている人のじゃまをすること,ふざけてばかりいると、チームの足を引っ張ってしまいます。,足を引っ張るは、うまくいっている人やチームのじゃまをすることです。
143,vocab1300_p028_006,28,見過ごす,みすごす,気づいているのに、そのままにすること,友だちが困っているのに気づいたので、見過ごさずに声をかけました。,見過ごすは、気づいているのに、そのままにすることです。
144,vocab1300_p029_001,29,おももち,おももち,気持ちが表れた顔つきや表情,結果を待つあいだ、青ちゃんは不安なおももちでした。,おももちは、気持ちや心情が表れた顔つきや表情のことです。
145,vocab1300_p029_002,29,地団駄を踏む,じだんだをふむ,悔しさで足を踏み鳴らすこと,あと少しで勝てたのに負けてしまい、弟は地団駄を踏みました。,地団駄を踏むは、悔しさで足を踏み鳴らすことです。
146,vocab1300_p029_003,29,寛大,かんだい,心が広く、やさしいこと,先生は、失敗した友だちにも寛大な態度で話を聞きました。,寛大は、心が広く、やさしいことです。
147,vocab1300_p029_004,29,拒否,きょひ,断ること,その申し出は自分に合わないと思い、きっぱり拒否しました。,拒否は、相手の申し出などを断ることです。
148,vocab1300_p029_005,29,証,あかし,事実であると証明するもの,毎日練習したノートは、努力の証です。,証は、事実であると証明するもの、証拠のことです。
149,vocab1300_p029_006,29,丸め込む,まるめこむ,うまい言葉で、自分に都合よく相手を操ること,うまい言葉で友だちを丸め込んで、自分だけ楽をするのはよくありません。,丸め込むは、うまい言葉で、自分に都合のよいように相手を操ることです。
150,vocab1300_p030_001,30,まんべんなく,まんべんなく,すみずみまで同じように,パンにジャムをまんべんなくぬりました。,まんべんなくは、すみずみまで同じように行き届いているようすです。
