"No.","ID","ページ","type","subtype","語句","読み","指摘元","Gemini判定","Gemini問題点","Gemini修正案","Fable判定","Fable問題分類","Fable問題点","Fable修正案","最終判定","優先度","問題分類","修正対象フィールド","修正前の語句","修正後の語句","修正前の読み","修正後の読み","修正前のsentence","修正後のsentence","修正前のhint","修正後のhint","修正前のquestion","修正後のquestion","修正前のchoices","修正後のchoices","修正前のanswerIndex","修正後のanswerIndex","修正前のexplanation","修正後のexplanation","修正理由","小学3年生向けの改善点","確信度"
"195","vocab1300_p037_004","37","meaning_context","animal_idiom_word","猿も木から落ちる","さるもきからおちる","Fableのみ","","","","","","","","修正確定","低","notation_issue,unnatural_sentence","sentence","猿も木から落ちる","変更なし","さるもきからおちる","変更なし","計算が得意な兄もまちがえました。猿も木から落ちるですね。","計算が得意な兄もまちがえました。まさに「猿も木から落ちる」ですね。","","変更なし","猿も木から落ちる の意味はどれ？","変更なし","[""得意な人でも、時には失敗するというたとえ"", ""だれも相手にしないこと"", ""客がいなくて静かなこと"", ""気が合うこと""]","変更なし","0","変更なし","猿も木から落ちるは、その道の得意な人でも、時には失敗するというたとえです。","変更なし","「猿も木から落ちるですね」は動詞の終止形＋「ですね」の接続がぎこちない。ことわざをカギカッコでくくり引用の形にする（No.658・923・1052と同一パターン。統合確認の過程で発見したため追加）。","ことわざを引用符で示すことで、文の区切りが分かりやすくなり、正しい書き方の手本になる。","高"
"218","vocab1300_p042_003","42","meaning_context","","洗礼を受ける","せんれいをうける","Geminiのみ","改善推奨","「洗礼を受ける」は、新しい世界や厳しい環境に入って最初に「厳しい経験や試練」を味わうというニュアンスがあります。元の解説「その後に影響する大きな経験をすること」だけだと「良い経験」も含まれてしまい、少し意味が広すぎます。厳しい試練を経験するというニュアンスを補うことを推奨します。","【正解選択肢】初めての厳しい試練や経験をすること

【explanation】洗礼を受けるは、新しい場所などで、初めての厳しい試練や経験をすることです。

※sentence、hint、question、choicesは「変更なし」

(※選択肢の文字変更に合わせて、実際のシステム上のchoices内のテキストも修正が必要です)","","","","","修正確定","中","meaning_too_broad","choices,explanation","洗礼を受ける","変更なし","せんれいをうける","変更なし","初めての大会で強い相手と当たり、青ちゃんは大きな洗礼を受けました。","変更なし","","変更なし","洗礼を受ける の意味はどれ？","変更なし","[""その月の最初の十日間"", ""そばで働くこと"", ""その後に影響する大きな経験をすること"", ""事情を説明して助けること""]","[""その月の最初の十日間"", ""そばで働くこと"", ""初めて受ける、きびしい経験のこと"", ""事情を説明して助けること""]","2","変更なし","洗礼を受けるは、その後の考え方などに影響する大きな経験をすることです。","洗礼を受けるは、新しい場所などで、初めてきびしい経験をすることです。","正解選択肢「その後に影響する大きな経験をすること」では「楽しい大きな経験」も含まれてしまい広すぎる。「洗礼を受ける」の中心は「新しい環境で初めて味わう厳しい試練」（Gemini指摘採用。「試練」は小3に難しいため「きびしい経験」と言い換え）。","「うれしい経験」にも使えると誤解せず、「初めてのきびしい経験」という中心的な意味で覚えられる。","中"
"308","vocab1300_p058_003","58","meaning_context","","てきめん","てきめん","Fableのみ","","","","改善推奨","unnatural_sentence","「朝の元気にてきめんの効果がありました」という言い回しがぎこちない。「てきめん」自体の用法は正しいが、「効果はてきめんでした」の形の方が自然で、本来の使い方（効果てきめん）も学びやすい。","【sentence】早くねるようにしたら効果はてきめんで、朝すっきり起きられるようになりました。","修正確定","低","unnatural_sentence","sentence","てきめん","変更なし","てきめん","変更なし","早く寝たら、朝の元気にてきめんの効果がありました。","早くねるようにしたら効果はてきめんで、朝すっきり起きられるようになりました。","","変更なし","てきめん の意味はどれ？","変更なし","[""効果が目に見えてよく分かること"", ""先に決めるべきこと"", ""しっかり覚えていないこと"", ""気分で変わること""]","変更なし","0","変更なし","てきめんは、効果が目に見えてよく分かることです。","変更なし","「朝の元気にてきめんの効果がありました」は言い回しがぎこちない。定型的な「効果はてきめん」の形に直し、効果の内容（朝すっきり起きられる）も具体化する。","「効果てきめん」という実際によく使われる形で覚えられ、効果の中身も想像しやすい。","高"
"332","vocab1300_p063_003","63","meaning_context","","装う","よそおう","Fableのみ・ユーザー確認候補","","","","要修正","usage_error,meaning_sentence_mismatch","「劇でお姫様を装って舞台に立ちました」は用法が不自然。「（役）を装う」は「客を装う」「平気を装う」のように、本当はそうでないのに、そう見せかける（だます・取りつくろう）文脈で使う。劇で役を演じることは「扮する」「役をする」であり、正解選択肢「違うように見せかけること」とも場面が合っていない。","【sentence】本当はきんちょうしていたのに、青ちゃんは平気を装って発表しました。 【explanation】装うは、本当とは違うように見せかけることです。「平気を装う」のように使います。","修正確定","高","usage_error,meaning_sentence_mismatch","sentence,explanation","装う","変更なし","よそおう","変更なし","青ちゃんは、劇でお姫様を装って舞台に立ちました。","本当はきんちょうしていたのに、青ちゃんは平気を装って発表しました。","","変更なし","装う の意味はどれ？","変更なし","[""とがっている先を示すこと"", ""違うように見せかけること"", ""素直でかわいいこと"", ""打ち解けていないこと""]","変更なし","1","変更なし","装うは、本当とは違うように見せかけることです。","装うは、本当とは違うように見せかけることです。「平気を装う」のように使います。","「劇でお姫様を装って舞台に立ちました」は用法が不自然。「〜を装う」は「客を装う」「平気を装う」のように、実際はそうでないのにそう見せかける文脈で使う語で、劇で役を演じることには使わない（その場合は「扮する」）。正解選択肢「違うように見せかけること」と例文の場面も一致していない。","劇の役＝装う、と誤って覚えるのを防ぎ、「平気を装う」という最頻出の使い方を学べる。","高"
"348","vocab1300_p066_001","66","meaning_context","","ひんしゅく","ひんしゅく","Fableのみ","","","","改善推奨","notation_issue","正解選択肢・解説の内容は「ひんしゅくを買う」（反感を買い軽蔑される）の意味であり、「ひんしゅく」単独の意味（不快に思って顔をしかめること）と厳密にはずれている。sentenceも「ひんしゅくを買いました」の形なので、語句・問いを「ひんしゅくを買う」に合わせるのがよい。","【question】ひんしゅくを買う の意味はどれ？ 【explanation】ひんしゅくを買うは、自分の言動のせいで、まわりの人にいやがられたり軽蔑されたりすることです。","修正確定","中","word_unit_issue,explanation_unclear","question,choices,explanation","ひんしゅく","変更なし","ひんしゅく","変更なし","人が話しているのに大声で笑って、まわりのひんしゅくを買いました。","変更なし","","変更なし","ひんしゅく の意味はどれ？","ひんしゅくを買う の意味はどれ？","[""そっくりであること"", ""前に進めなくなること"", ""反感を買ったり軽蔑されたりすること"", ""食べ物がなくて飢えること""]","[""そっくりであること"", ""前に進めなくなること"", ""まわりの人にいやがられたり、あきれられたりすること"", ""食べ物がなくて飢えること""]","2","変更なし","ひんしゅくは、自分の言動のせいで、反感を買ったり軽蔑されたりすることです。","ひんしゅくを買うは、よくない言い方やふるまいのせいで、まわりの人にいやがられたり、あきれられたりすることです。","正解選択肢・解説の内容は「ひんしゅくを買う」の意味であり、「ひんしゅく」単独の意味（不快に思って顔をしかめること）とはずれている。例文も「ひんしゅくを買いました」の形。問いを連語に合わせ、選択肢の「反感」「軽蔑」という難語も小3向けに言い換える。","「反感」「軽蔑」という難語なしで意味が分かり、実際に使う「ひんしゅくを買う」の形で覚えられる。","中"
"371","vocab1300_p069_006","69","meaning_context","","手はない","てはない","Fableのみ","","","","改善推奨","notation_issue","この表現は「（〜ない）手はない」の形で使う連語であり、語句が「手はない」で切れている。単独では「方法がない」（打つ手はない）の意味と紛らわしいため、問いで「〜ない手はない」の形を示すとよい。sentence・選択肢・解説自体は適切。","【question】〜ない手はない の意味はどれ？","修正確定","低","word_unit_issue","question","手はない","変更なし","てはない","変更なし","せっかく近くに図書館があるなら、使わない手はありません。","変更なし","","変更なし","手はない の意味はどれ？","〜ない手はない の意味はどれ？","[""無理にやらせること"", ""リアルなようす"", ""礼儀がないこと"", ""そうするべきだ、しないのはもったいないということ""]","変更なし","3","変更なし","手はないは、そうするべきだ、そうしないのはもったいない、という意味です。","変更なし","この表現は「（〜ない）手はない」の形で使う連語で、「手はない」単独では「打つ手はない（方法がない）」と紛らわしい。問いで連語の形を示す（No.72と同一パターン）。","「〜ない手はない」というまとまりで覚えられ、「方法がない」との混同を防げる。","高"
"405","vocab1300_p076_004","76","meaning_context","","聞こえよがし","きこえよがし","Geminiのみ","改善推奨","「本人に言わず」だと、その後の「聞こえるように言う」と矛盾して聞こえる可能性があります。「本人に直接は言わず」と補うと、言葉のニュアンスが正確に伝わります。","【sentence】本人に直接言わず、聞こえよがしに文句を言うのはよくありません。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","context_unclear","sentence","聞こえよがし","変更なし","きこえよがし","変更なし","本人に言わず、聞こえよがしに文句を言うのはよくありません。","本人には直接言わず、聞こえよがしに文句を言うのはよくありません。","","変更なし","聞こえよがし の意味はどれ？","変更なし","[""悪口などを直接本人に言わず、わざと聞こえるように言うこと"", ""予約を取り消すこと"", ""心に留めておくこと"", ""時間を短くすること""]","変更なし","0","変更なし","聞こえよがしは、悪口などを直接本人に言わず、わざと聞こえるように言うことです。","変更なし","「本人に言わず…聞こえよがしに言う」は「言わないのに言う？」と読めて小3が混乱しやすい。「直接」を補い、正解選択肢の表現（直接本人に言わず、わざと聞こえるように）とも一致させる（Gemini案採用）。","「直接は言わない・でも聞こえるように言う」という語の仕組みが例文からそのまま分かる。","高"
"453","vocab1300_p084_004","84","meaning_context","","図星","ずぼし","Fableのみ","","","","改善推奨","meaning_too_broad","「図星」の中心は「人の指摘が、思っていることをぴたりと言い当てていること」だが、正解選択肢「想像していた通りであること」からは「（人に）言い当てられる」という要素が抜けており、「予想通り（案の定）」と混同して覚えるおそれがある。例文自体は「〜と言われ、図星で」と適切。","【choices】[""人に言われたことが、ぴたりと当たっていること"", ""しばらく盛んなこと"", ""その場のなりゆき"", ""知らないふりをすること""] 【正解】人に言われたことが、ぴたりと当たっていること 【explanation】図星は、人に言われたことが、自分の思っていることにぴたりと当たっていることです。","修正確定","中","meaning_too_broad","choices,explanation","図星","変更なし","ずぼし","変更なし","『宿題を忘れたでしょう』と言われ、図星で何も言えませんでした。","変更なし","","変更なし","図星 の意味はどれ？","変更なし","[""想像していた通りであること"", ""しばらく盛んなこと"", ""その場のなりゆき"", ""知らないふりをすること""]","[""人に言われたことが、ぴたりと当たっていること"", ""しばらく盛んなこと"", ""その場のなりゆき"", ""知らないふりをすること""]","0","変更なし","図星は、想像していた通りであることです。","図星は、人に言われたことが、自分の思っていることにぴたりと当たっていることです。","正解選択肢「想像していた通りであること」からは「人に言い当てられる」という図星の中心的な要素が抜けており、「予想通り（案の定）」と混同するおそれがある。例文（「〜と言われ、図星で」）は適切なので、選択肢と解説を例文に合わせる。","「図星＝予想が当たった」ではなく「人にずばり言い当てられた」という正しい使い方で覚えられる。","中"
"466","vocab1300_p087_005","87","meaning_context","","劣る","おとる","Fableのみ","","","","改善推奨","meaning_sentence_mismatch","正解選択肢「周りよりも、質や出来が良くないこと」は比較対象を「周り」に限定しているが、例文は「去年より体力が劣らないように」と自分の過去との比較になっており、微妙に整合しない。「劣る」は「他とくらべて」低いことであり、比較対象は周囲に限らない。","【choices】[""やり通すこと"", ""ほかとくらべて、質や出来が良くないこと"", ""相手を苦しめること"", ""どうにもできないこと""] 【正解】ほかとくらべて、質や出来が良くないこと 【explanation】劣るは、ほかとくらべて、質や出来が良くないことです。","修正確定","低","meaning_sentence_mismatch","choices,explanation","劣る","変更なし","おとる","変更なし","去年より体力が劣らないように、毎日歩いています。","変更なし","","変更なし","劣る の意味はどれ？","変更なし","[""やり通すこと"", ""周りよりも、質や出来が良くないこと"", ""相手を苦しめること"", ""どうにもできないこと""]","[""やり通すこと"", ""ほかとくらべて、質や出来が良くないこと"", ""相手を苦しめること"", ""どうにもできないこと""]","1","変更なし","劣るは、周りよりも、質や出来が良くないことです。","劣るは、ほかとくらべて、質や出来が良くないことです。","正解選択肢が「周りよりも」と比較対象を周囲の人に限定しているのに、例文は「去年より」と自分の過去との比較で、微妙に整合しない。「ほかとくらべて」に直し、どんな比較にも当てはまる形にする。","例文と選択肢の内容がそろい、「くらべて低い」という意味を素直に対応づけられる。","中"
"504","vocab1300_p094_001","94","meaning_context","","他ならない","ほかならない","Fableのみ","","","","改善推奨","notation_issue","この表現は通常「〜に他ならない」の形で使う連語であり、語句が「他ならない」で切れている。例文も「〜に他なりません」の形なので、問いで「〜に他ならない」の形を示すとよい（No.72「過ぎない」・No.371「手はない」と同種の指摘）。選択肢・解説自体は適切。","【question】〜に他ならない の意味はどれ？","修正確定","低","word_unit_issue","question","他ならない","変更なし","ほかならない","変更なし","この成功は、みんなの努力の結果に他なりません。","変更なし","","変更なし","他ならない の意味はどれ？","〜に他ならない の意味はどれ？","[""相手の好意を迷惑に感じること"", ""まさしくそのことであること"", ""自分で費用を払うこと"", ""気持ちがすっきりしないこと""]","変更なし","1","変更なし","他ならないは、まさしくそのことである、〜でしかないという意味です。","変更なし","この表現は通常「〜に他ならない」の形で使う連語で、語句が「他ならない」で切れている。問いで連語の形を示す（No.72・371と同一パターン）。","「に他ならない」というまとまりで覚えられる。","高"
"658","vocab1300_p121_005","121","meaning_context","plant_idiom_word","木を見て森を見ず","きをみてもりをみず","Geminiのみ","改善推奨","同上（ことわざを文末にそのままつなげるより、カギカッコでくくった方が自然です）。","【sentence】一つの字の形ばかり気にして、文章全体を読めていないのは**「木を見て森を見ず」です**。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","notation_issue","sentence","木を見て森を見ず","変更なし","きをみてもりをみず","変更なし","一つの字の形ばかり気にして、文章全体を読めていないのは木を見て森を見ずです。","一つの字の形ばかり気にして、文章全体を読めていないのは、まさに「木を見て森を見ず」です。","","変更なし","木を見て森を見ず の意味はどれ？","変更なし","[""細かいことに気を取られて、全体が見えていないこと"", ""どれも似たりよったりなこと"", ""言わない方がよいこと"", ""実利を選ぶこと""]","変更なし","0","変更なし","木を見て森を見ずは、細かいことに気を取られて、物事の全体が見えていないことです。","変更なし","「〜のは木を見て森を見ずです」は文語の打ち消し「見ず」＋「です」の接続がぎこちない。ことわざをカギカッコでくくり、引用の形にする（Gemini案を最小限の変更で採用）。","ことわざ部分がひと目で分かり、文の構造が読み取りやすくなる。","高"
"778","vocab1300_p143_005","143","meaning_context","","老化","ろうか","Gemini・Fable両方","要修正","「老化」は人間や動物などの生き物に対して使う言葉です。道具や建物が古くなることには「劣化」や「老朽化」を使うため、「道具が老化する」という例文・解説は明確な誤用です。","【sentence】おじいちゃんは、「最近、足の老化を感じるよ」と笑っていました。

【explanation】老化は、年を取って、体の働きが衰えることです。

※hint、question、choices、正解選択肢は「変更なし」","改善推奨","unnatural_sentence","「道具も長く使うと、少しずつ老化して」はやや不自然。「老化」の中心的な意味は「年を取って心身の働きが衰えること」で、物に使うのはゴムなど材質の劣化に限られる用法（一般の道具なら「劣化」が自然）。教材としては、中心的な意味である人の老化の例文にする方が学びやすい。正解選択肢・解説は許容範囲。","【sentence】祖母は、体の老化を防ぐために、毎日体操を続けています。 【explanation】老化は、年を取って、体などの働きが衰えることです。","修正確定","高","usage_error","sentence,explanation","老化","変更なし","ろうか","変更なし","道具も長く使うと、少しずつ老化して使いにくくなります。","おじいちゃんは、「最近、足の老化を感じるよ」と笑っていました。","","変更なし","老化 の意味はどれ？","変更なし","[""面白くないこと"", ""一人前になること"", ""年を取って、体や物の働きが衰えること"", ""いてもたってもいられないこと""]","変更なし","2","変更なし","老化は、年を取って、体や物の働きが衰えることです。","老化は、年を取って、体などの働きが衰えることです。","「道具が老化する」は誤用に近い（材質の経年変化に「ゴムの老化」等の専門用法はあるが、一般の道具には「劣化」が正しい）。Gemini・Fable両方が指摘。中心的な意味である人の老化の例文に差し替える（Gemini案採用）。","「道具が老化する」という誤った言い方を覚えるのを防ぎ、中心的な意味（年を取って体が衰える）を身近な場面で学べる。","高"
"880","vocab1300_p162_005","162","meaning_context","","あらわにする","あらわにする","Fableのみ・ユーザー確認候補","","","","要修正","meaning_sentence_mismatch,other","語句は「あらわにする」（他動詞：隠さず表す）なのに、例文は「問題の原因があらわになりました」と自動詞「あらわになる」の形で、対象語句が例文にその形で含まれていない。問い・正解選択肢・解説は「〜する」形の意味を扱っており、例文とねじれている。","【sentence】妹は、うれしい気持ちをあらわにして、飛びはねながら帰ってきました。 【explanation】あらわにするは、気持ちなどを隠さないで、はっきり表に出すことです。","修正確定","高","meaning_sentence_mismatch,other","sentence,explanation","あらわにする","変更なし","あらわにする","変更なし","調査で、問題の原因があらわになりました。","妹は、うれしい気持ちをあらわにして、飛びはねながら帰ってきました。","","変更なし","あらわにする の意味はどれ？","変更なし","[""隠さないで、はっきり見えるようにすること"", ""生まれつき持っていること"", ""おだやかにすること"", ""いばってふるまうこと""]","変更なし","0","変更なし","あらわにするは、隠れていたことをはっきり見えるようにすることです。","あらわにするは、気持ちなどを隠さないで、はっきり表に出すことです。","語句は他動詞「あらわにする」なのに、例文は「原因があらわになりました」と自動詞「あらわになる」の形で、対象語句が例文にその形で含まれていない。問い・選択肢・解説は「〜する」の意味なので、例文を「〜する」の形に作り直す。","学ぶ語（あらわにする）がそのままの形で例文に登場し、使い方を真似できる。","高"
"905","vocab1300_p166_006","166","meaning_context","","恩恵","おんけい","Fableのみ","","","","改善推奨","wrong_answer_choice","「恩恵」は「めぐみ・ありがたい利益」という名詞であり、正解選択肢「恩を受けること。ありがたみを受けること。」は「受ける」という行為の説明になっていて品詞がずれている（恩恵＝受ける対象そのもの）。例文「インターネットの恩恵で」の意味とも微妙に合わない。","【choices】[""判断を任せること"", ""毎日すること"", ""めぐみ。ありがたい助けや利益。"", ""人を押しやること""] 【正解】めぐみ。ありがたい助けや利益。 【explanation】恩恵は、めぐみのこと。人や物から受ける、ありがたい助けや利益です。","修正確定","低","wrong_answer_choice","choices,explanation","恩恵","変更なし","おんけい","変更なし","インターネットの恩恵で、遠くの人とも話せます。","変更なし","","変更なし","恩恵 の意味はどれ？","変更なし","[""判断を任せること"", ""毎日すること"", ""恩を受けること。ありがたみを受けること。"", ""人を押しやること""]","[""判断を任せること"", ""毎日すること"", ""めぐみ。ありがたい助けや利益。"", ""人を押しやること""]","2","変更なし","恩恵は、恩を受けること、ありがたみを受けることです。","恩恵は、めぐみのこと。人や物から受ける、ありがたい助けや利益のことです。","「恩恵」は「めぐみ・ありがたい利益」という名詞なのに、正解選択肢「恩を受けること。ありがたみを受けること。」は「受ける」という行為の説明になっていて品詞がずれている。例文「インターネットの恩恵で」＝「めぐみで」に合わせる。","「インターネットの恩恵」＝「インターネットのめぐみ」と、例文にそのまま当てはめて確認できる。","中"
"923","vocab1300_p169_006","169","meaning_context","","悪事千里を走る","あくじせんりをはしる","Geminiのみ","改善推奨","ことわざを文末の言葉にそのままつなげるよりも、カギカッコでくくり「まさに『〜』ですね」とした方が、日本語の話し言葉として自然です。","【sentence】悪い評判はすぐに広まります。まさに「悪事千里を走る」ですね。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","notation_issue","sentence","悪事千里を走る","変更なし","あくじせんりをはしる","変更なし","悪い評判はすぐに広まります。悪事千里を走るですね。","悪い評判はすぐに広まります。まさに「悪事千里を走る」ですね。","","変更なし","悪事千里を走る の意味はどれ？","変更なし","[""つじつまが合わないこと"", ""努力した結果"", ""悪いうわさは、すぐに広まるというたとえ"", ""周囲が敵ばかりなこと""]","変更なし","2","変更なし","悪事千里を走るは、悪いうわさはすぐに広まるというたとえです。","変更なし","「悪事千里を走るですね」は動詞の終止形＋「ですね」の接続がぎこちない。ことわざをカギカッコでくくり引用の形にする（Gemini案採用）。","ことわざ部分がひと目で分かり、正しい書き方の手本になる。","高"
"973","vocab1300_p179_002","179","meaning_context","","ふりむきざま","ふりむきざま","Fableのみ・ユーザー確認候補","","","","要修正","usage_error,unnatural_sentence","「ふりむきざまに名前を呼ばれました」は用法が不自然。「〜ざま(に)」は「振り向きざまに投げる」のように、同じ人がその動作と同時に次の動作をする形で使うのが本来で、受け身「呼ばれました」とは合わない。また「呼ばれたから振り向く」のが自然な順序で、場面としても時系列が逆になっている。","【sentence】呼ばれた弟は、ふりむきざまに「なあに？」と答えました。","修正確定","高","usage_error,unnatural_sentence","sentence","ふりむきざま","変更なし","ふりむきざま","変更なし","青ちゃんは、ふりむきざまに名前を呼ばれました。","呼ばれた弟は、ふりむきざまに「なあに？」と答えました。","","変更なし","ふりむきざま の意味はどれ？","変更なし","[""軽くあしらうこと"", ""ふりむくと同時に"", ""言いそびれること"", ""隠さずに表すこと""]","変更なし","1","変更なし","ふりむきざまは、ふりむくと同時に、という意味です。","変更なし","「ふりむきざまに名前を呼ばれました」は「〜ざま(に)」の用法として不自然。本来は「振り向きざまに投げる」のように同じ人がその動作と同時に次の動作をする形で使い、受け身とは合わない。「呼ばれたから振り向く」という自然な順序にも直す。","「ふりむくと同時に（自分が）何かをする」という語の使い方を、自然な場面の流れで学べる。","中"
"1038","vocab1300_p191_001","191","meaning_context","","はたして","はたして","Geminiのみ・ユーザー確認候補","要修正","「はたして」を単純な「案の定」の置き換えとして使っており、元の例文の文脈では「案の定」や「思った通り」の方が自然です。「はたして」の本来の文脈（聞いていた情報や事前の予想と照らし合わせるニュアンス）に合った文への変更を推奨します。","【sentence】明日は雨だという天気予報でしたが、はたして、朝から強い雨が降ってきました。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","context_unclear","sentence","はたして","変更なし","はたして","変更なし","空が暗くなってきました。はたして、少しすると雨が降り出しました。","天気予報では、昼すぎから雨が降ると言っていました。はたして、昼すぎになると雨が降り出しました。","","変更なし","はたして の意味はどれ？","変更なし","[""いずれ、そのうちに"", ""ゆったりと静かに"", ""やはり思った通り、案の定"", ""がっかりして元気がない様子""]","変更なし","2","変更なし","はたしては、予想した通りに何かが起こったときに使います。","変更なし","元の例文も「空が暗い→雨」という予想の根拠があり辞書的には成立するが、予想が暗示にとどまり、小3には「はたして＝案の定」の仕組みがつかみにくい。天気予報という明示的な予想に差し替え、「予想→はたして→その通りの結果」の構造をはっきりさせる（Gemini指摘・ユーザー違和感を踏まえ、教材としての分かりやすさで修正）。","「予報どおりになった」という分かりやすい流れで、「はたして＝やはり思った通り」を体感できる。","高"
"1049","vocab1300_p192_006","192","meaning_context","","本音","ほんね","Fableのみ","","","","改善推奨","meaning_sentence_mismatch","正解選択肢「言葉にした本当の気持ち」の「言葉にした」が例文と合わない。例文は「笑っていたけれど、本音では少し悲しかった」と、口に出していない本当の気持ちを表しており、選択肢の限定と矛盾する。解説（「うわべではなく、本当の気持ちのことです」）は正しいので、選択肢を解説に合わせるのがよい。","【choices】[""必ずとは限らないこと"", ""見苦しいこと"", ""うわべではない、本当の気持ち"", ""勝手に使うこと""] 【正解】うわべではない、本当の気持ち","修正確定","中","meaning_sentence_mismatch","choices","本音","変更なし","ほんね","変更なし","友だちは笑っていたけれど、本音では少し悲しかったようです。","変更なし","","変更なし","本音 の意味はどれ？","変更なし","[""必ずとは限らないこと"", ""見苦しいこと"", ""言葉にした本当の気持ち"", ""勝手に使うこと""]","[""必ずとは限らないこと"", ""見苦しいこと"", ""うわべではない、本当の気持ち"", ""勝手に使うこと""]","2","変更なし","本音は、うわべではなく、本当の気持ちのことです。","変更なし","正解選択肢「言葉にした本当の気持ち」の「言葉にした」が、口に出していない本音を描く例文（笑っていたけれど本音では悲しかった）と矛盾する。解説（うわべではなく、本当の気持ち）は正しいので、選択肢を解説に合わせる。","例文・選択肢・解説の内容が一致し、「本音＝口に出したかどうかに関係なく、本当の気持ち」と正しく学べる。","高"
"1052","vocab1300_p193_003","193","meaning_context","","朱に交われば赤くなる","しゅにまじわればあかくなる","Geminiのみ","改善推奨","同上（ことわざを文末にそのままつなげるより、カギカッコでくくった方が自然です）。","【sentence】読書好きの友だちといるうちに、私も本を読むようになりました。まさに「朱に交われば赤くなる」ですね。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","notation_issue","sentence","朱に交われば赤くなる","変更なし","しゅにまじわればあかくなる","変更なし","読書好きの友だちといるうちに、私も本を読むようになりました。朱に交われば赤くなるですね。","読書好きの友だちといるうちに、私も本を読むようになりました。まさに「朱に交われば赤くなる」ですね。","","変更なし","朱に交われば赤くなる の意味はどれ？","変更なし","[""顔色が悪くなること"", ""人は付き合う人によって影響を受けること"", ""突然大変なことが起きること"", ""経験が浅いこと""]","変更なし","1","変更なし","朱に交われば赤くなるは、人は周りの人から影響を受けるという意味です。","変更なし","「朱に交われば赤くなるですね」は動詞の終止形＋「ですね」の接続がぎこちない。ことわざをカギカッコでくくり引用の形にする（Gemini案採用）。","ことわざ部分がひと目で分かり、正しい書き方の手本になる。","高"
"1111","vocab1300_p204_002","204","meaning_context","","純粋","じゅんすい","Geminiのみ","改善推奨","例文の「添加物」という言葉が小学3年生には少し難しく、意味が伝わりにくい可能性があります。より分かりやすい表現への変更を推奨します。","【sentence】ほかのものが何もまざっていない、純粋なリンゴジュースを飲みました。

※hint、question、choices、正解選択肢、explanationは「変更なし」","","","","","修正確定","低","too_difficult_for_grade3","sentence","純粋","変更なし","じゅんすい","変更なし","添加物の入っていない純粋なジュースを飲みました。","しぼったままの純粋なリンゴジュースを飲みました。","","変更なし","純粋 の意味はどれ？","変更なし","[""とことん行うこと"", ""まじりけのない様子"", ""人気が上がること"", ""目標を立てること""]","変更なし","1","変更なし","純粋は、まじりけがない様子です。","変更なし","例文の「添加物」が小3には難しく、文脈の手がかりとして機能しにくい。Gemini案「ほかのものが何もまざっていない」は正解選択肢「まじりけのない様子」をほぼ言ってしまうため不採用とし、「しぼったまま」で自然に示す。","難語なしで場面が想像でき、かつ答えを文中で言ってしまわない。","高"
"1129","vocab1300_p207_002","207","meaning_context","","一躍","いちやく","Fableのみ","","","","改善推奨","meaning_too_narrow","「一躍」は「あっというまに、急に（地位や評判が上がる）」という副詞で、正解選択肢「あっというまに有名になること」は例文の文脈（有名になる）を語の意味に取り込みすぎている。「一躍トップに立つ」のように有名以外にも使う。同じ語のNo.773では正しく「あっという間に、急に」となっており、そちらに揃えるのがよい。","【choices】[""感心させられること"", ""あっというまに、急に"", ""悪い状態が続くこと"", ""関係を断つこと""] 【正解】あっというまに、急に 【explanation】一躍は、あっというまに、急に、という意味です。急に有名になったり順位が上がったりするときに使います。","修正確定","中","meaning_too_narrow","choices,explanation","一躍","変更なし","いちやく","変更なし","その歌がヒットして、あのグループは一躍有名になりました。","変更なし","","変更なし","一躍 の意味はどれ？","変更なし","[""感心させられること"", ""あっというまに有名になること"", ""悪い状態が続くこと"", ""関係を断つこと""]","[""感心させられること"", ""あっというまに、急に"", ""悪い状態が続くこと"", ""関係を断つこと""]","1","変更なし","一躍は、短い時間で急に有名になったり目立ったりすることです。","一躍は、あっというまに、急に、という意味です。急に有名になったり、順位が上がったりするときに使います。","正解選択肢「あっというまに有名になること」は例文の文脈（有名になる）を語の意味に取り込みすぎ。「一躍」は「一躍トップに立つ」のように有名以外にも使う副詞。同じ語のNo.773の正しい選択肢「あっという間に、急に」と表現をそろえる。","「一躍＝有名になること」という狭い意味で固定せず、副詞としての正しい意味を学べる。同一アプリ内のNo.773との食い違いも解消。","中"
